"Customers Who Purchased This Also Purchased","Kunde, der das bestellt, bestellt auch"
"Enabled","Eingeschaltet "
"Block","Block"
"Products Count","Die Zahl der Produkte"
"Append Products","Produkte hinzufuegen"
"Products, assigned by admin, will not be displayed, if you choose “Disabled”. If you choose “Prepend”, the products will be displayed first. If you choose “Append”, the products will be displayed only if there are available placeholders in the blocks.","Produkte, die vom Administrator bestaetigt wurden, werden nicht gezeigt, wenn Sie “Ausgeschaltet” waehlen. Wenn Sie “Einschliessen” waehlen, werden zuerst Produkte gezeigt. Wenn Sie “Hinzufuegen” waehlen, Produkte werden nur dann gezeigt, wenn es Plaetze gibt."
"Show In Stock Only","Nur im Angebot zeigen"
"The system will show only in stock products.","Das System wird nur Produkte im Angebot zeigen."
"Append","Hinzufuegen"
"Prepend","Einschliessen"
"Disabled","Ausgeschaltet"
"Related Products","Assoziierte Produkte"
"Up-sells","Up-sells"
"Cross-sells","Cross-sells"
