"Earn Credits by Inviting friends", "Earn Credits by Inviting friends"
"Invite your friends and earn credit for yourself when they join", "Invite your friends and earn credit for yourself when they join"
"Total Earned Credits", "Total Earned Credits"
"Upcoming Credits", "Upcoming Credits"
"Available Credits", "Available Credits"
"Used Credits", "Used Credits",
"Purchase Bonus","Purchase Bonus"
"If your friends sign up and make purchase, you will earn a ", "If your friends sign up and make purchase, you will earn a "
" credit per friend after ", " credit per friend after "
" day/s", " day/s"
"If you invite ", "If you invite "
" friend/s you will earn a bonus of ", " friend/s you will earn a bonus of "
"Your Invite Link", "Your Invite Link"
"Share the URL below with your friends on Twitter,Facebook or in an Email.","Share the URL below with your friends on Twitter,Facebook or in an Email."
"Addresses separated by commas.", "Addresses separated by commas."
"Send Invites", "Send Invites"
"Send Invites via Social Networks", "Send Invites via Social Networks"
"Scan your address book from any of these services to find people you know.", "Scan your address book from any of these services to find people you know."
"Invite via Facebook", "Invite via Facebook"
"Invite via Twitter", "Invite via Twitter"
"Invite via Gmail", "Invite via Gmail"
"Invite Friends via Gmail", "Invite Friends via Gmail"
"Send Invite", "Send Invite"
"Invite Friends via Twitter", "Invite Friends via Twitter"
"Tweet", "Tweet"
"Credits Information", "Credits Information"
"Transaction History", "Transaction History"
"Date", "Date"
"Credits", "Credits"
"Balance", "Balance"
"Transaction Details", "Transaction Details"
"Status", "Status"
"Invite Friends","Invite Friends"
"My Credits","My Credits"
"Invite Friends via Email","Invite Friends via Email"
"Share with Facebook","Share with Facebook"
"Share with Twitter","Share with Twitter"
"Email sent successfully","Email sent successfully"




