"Attribute","Atributo"
"Sorting Order","Orden de clasificación"
"No","No"
"Yes","Sí"
"Layered Navigation","Navegación en categorías"
"Show Icons","Mostrar iconos"
"Hide Quantities ","Ocultar cantidades"
"Display","Visualizar"
"Labels and Icons, One Column","Etiquetas y iconos, una columna"
"Labels and Icons, Two Columns","Etiquetas y iconos, dos columnas"
"Icons Only","Sólo iconos"
"Icons","Iconos"
"Are you sure?","Está seguro?"
"Delete","Eliminar"
"Save and Continue Edit","Guardar y continuar modificar"
"You are trying to upload more files than allowed by your server's configuration.\nYou can upload only %d file(s) at a time.\nThe following file(s) will not be uploaded:\n%s","Usted está tratando de cargar más archivos de lo que está permitido por la configuración de su servidor.\\nSólo puede cargar %d archivo(s) a la vez.\\nEl (los) archivo(s) siguiente no se cargarán:\\n%s"
"Attribute Icons","Iconos de atributos"
"ID","ID"
"Hidden","Oculto"
"Position","Posición"
"Manage Attribute Icons","Administrar los iconos de atributos"
"Fill Out","Rellenar"
"Attribute does not exist","El atributo no existe"
"Attribute icons have been successfully saved","Los iconos de atributos han sido guardados correctamente"
"Attribute has been successfully saved, feel free to upload icons","Los atributos han sido guardados correctamente, no dude en cargar iconos"
"Unable to find an item to save","No se puede encontrar un atributo para guardar"
"Unable to find an item to delete","No se puede encontrar un atributo para eliminar"
"All attribute icons have been deleted","Todos los iconos de atributos han sido eliminados"
"Attribute icon has been deleted","El icono de atributo ha sido eliminado"
"There are no products matching the selection.","No hay productos que corresponden a la selección."
"Out of stock","Fuera del stock"
"Learn More","Saber más"
"Email to a Friend","Enviar un correo electrónico a un amigo"
"Resize","Cambiar el tamaño"
"Resize icons for product list page","Cambiar el tamaño de los iconos para la página de la lista de productos"
"Width","Ancho"
"Height","Altura"
"Keep Frame","Mantener el marco"
"Keep Aspect Ratio","Mantener la proporción de formas"
"Please insert initialization code in the page template","Por favor, introduzca el código de inicialización en la plantilla de página"
