"Customers Who Purchased This Also Purchased","I Clienti Che Hanno Acquistato Questo Hanno Anche Comprato"
"Enabled","Attivato"
"Block","Blocco"
"Products Count","Conto dei Prodotti"
"Append Products","Aggiungere Prodotti"
"Products, assigned by admin, will not be displayed, if you choose “Disabled”. If you choose “Prepend”, the products will be displayed first. If you choose “Append”, the products will be displayed only if there are available placeholders in the blocks.","Prodotti assegnati da amministratore, non saranno visualizzati, se seleziona “Disattivato”. Se seleziona “Aggiungere all'Inizio”, prodotti saranno visualizzati primi. Se seleziona “Aggiungere alla fine”, prodotti saranno visualizzati solo se ci sono disponibili Segnaposti nei blocchi."
"Show In Stock Only","Mostrare Solo Disponibili"
"The system will show only in stock products.","Il sistema mostrera` solo prodotti disponibili"
"Append","Aggiungere alla fine"
"Prepend","Aggiungere all'inizio"
"Disabled","Disattivato"
"Related Products","Prodotti Relativi"
"Up-sells","Up-sells"
"Cross-sells","Cross-sells"
