"store","websites","attribute_set","type","sku","name","age","dimension","description","short_description","faq","material","warnings","product_name","store_id","product_type_id"
"english","base","Default","simple","FB20-WCARTS","Princess Wall Decal",,,"<li>4 princesses (each 7"" tall), 7 clouds (smallest is 8""), 3 hilly meadows, 11 patches of grass, 35 flowers, 23 stars, 5 trees, 7 flowing river sections, 1 castle, 1 sun</li>
<li>Removable and reusable</li>
<li>Safe for walls</li>

<p></p>
<h4>How To Install Video (though it really is super easy to apply!):
<br>
<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/K0-I7OthtaU?rel=0"" frameborder=""0"" allowfullscreen></iframe>","Design your own perky queen-dom in bedrooms, playrooms, and nurseries with princess wall decals that add a pinch of magic to any space. To apply each majestic maven and her pastoral empire,  simply peel and stick. Arrange and rearrange each repositionable wall sticker to create a uniquely splendid scene with starry skies and lush flower fields. Need to relocate your royal realm? This wall decals kit is removable, reusable, and safe for walls.","<li>Q: HOW DO I APPLY WALLCANDY_?</li>
<li>A: Application is a simple three-step process of peel, place then smooth with your hand. Your WallCandy can be rearranged and easily removed numerous times. Freshly painted or cleaned walls should be completely dry before applying the product. Completely dry may be longer than you think. In some room environments that could mean a few weeks for every layer to be cured.</li>
<br>
<li>Q: HOW LONG WILL MY WALLCANDY_ STAY UP ON MY WALL?</li>
<li>A: WallCandy is as easy to remove as it is to install but left alone it will stay on your wall for 3-5 glorious, artful years or more.</li>
<br>
<li>Q: WILL WALLCANDY_ STICK TO ANY WALL IN MY HOUSE?</li>
<li>A: WallCandy adheres to most clean and smooth surface.</li>","Non-toxic PVC Vinyl with a low tack adhesive. It is non-phthalate, contains no VOC's or lead.",,"Princess Wall Decal",1,"simple"
"english","base","Default","simple","SeasonOS-WCARTS","Seasons Tree Wall Decal",,,"<li>1 (65"" tall) or 2 (45"" tall) trees, 28 leaves, 2 birds, 2 butterflies, and 4 flowers</li>
<li>Removable and reusable</li>
<li>Safe for walls</li>

<p></p>
<h4>How To Install Video (though it really is super easy to apply!): </h4><a href=""http://youtu.be/K0-I7OthtaU"">youtu.be/K0-I7OthtaU</a>","Decorate your indoors with nature's favorite flora and your kids will agree - a tree wall sticker is the loveliest thing to see! Complete your nursery or playroom look with a charming peel and stick spruce that always fits in. Create a classic tree, or arrange the repositionable leaves, birds, and branches quite differently. Feel free to move your design to another room - these wall decals are removable, and won't ever damage your walls.","<li>Q: HOW DO I APPLY WALLCANDY_?</li>
<li>A: Application is a simple three-step process of peel, place then smooth with your hand. Your WallCandy can be rearranged and easily removed numerous times. Freshly painted or cleaned walls should be completely dry before applying the product. Completely dry may be longer than you think. In some room environments that could mean a few weeks for every layer to be cured.</li>
<br>
<li>Q: HOW LONG WILL MY WALLCANDY_ STAY UP ON MY WALL?</li>
<li>A: WallCandy is as easy to remove as it is to install but left alone it will stay on your wall for 3-5 glorious, artful years or more.</li>
<br>
<li>Q: WILL WALLCANDY_ STICK TO ANY WALL IN MY HOUSE?</li>
<li>A: WallCandy adheres to most clean and smooth surface.</li>","Non-toxic PVC Vinyl with a low tack adhesive. It is non-phthalate, contains no VOC's or lead.",,"Seasons Tree Wall Decal",1,"simple"
"english","base","Default","simple","FB19-WCARTS","Jungle Wall Decal",,,"<li>1 elephant (7.5"" w x 7.5"" h), 1 hippo (10"" w x 8"" h), 1 lion (5.5"" w x 7.5"" h), 1 giraffe (3"" w x 7"" h), 1 monkey (4"" w x 4.5"" h), 7 clouds, 5 little birds, 14 ferns, 1 banana, 2 owls with branches and bird's nest, 1 sun, 10 water drops, 25 moss stones, and 2 puddles</li>
<li>Removable and reusable</li>
<li>Safe for walls</li>","Need to complete a room filled with cuddly stuffed animals? Add adorable jungle wall decals for a fuzzy finish to your future zoologist's favorite space! To create a scene pouncing with precious jungle bliss, simply peel and stick. Position and reposition bright flora and fauna to design a friendly den or spacious habitat. Each wall sticker is removable, reusable, and safe for walls","<li>HOW DO I APPLY WALLCANDY_?</li>
<li>Application is a simple three-step process of peel, place then smooth with your hand. Your WallCandy can be rearranged and easily removed numerous times. Freshly painted or cleaned walls should be completely dry before applying the product. Completely dry may be longer than you think. In some room environments that could mean a few weeks for every layer to be cured.</li>
<br>
<li>HOW LONG WILL MY WALLCANDY_ STAY UP ON MY WALL?</li>
<li>WallCandy is as easy to remove as it is to install but left alone it will stay on your wall for 3-5 glorious, artful years or more.</li>
<br>
<li>WILL WALLCANDY_ STICK TO ANY WALL IN MY HOUSE?</li>
<li>WallCandy adheres to most clean and smooth surface.</li>","Non-toxic PVC Vinyl with a low tack adhesive. It is non-phthalate, contains no VOC's or lead.",,"Jungle Wall Decal",1,"simple"
"english","base","Default","simple","IHartOwl-WCARTS","I Heart Owl Wall Decal",,,"<li>1 tree (52"" tall), 1 mommy owl in tree, 22 large leaves (each 2 1/4"" w x 1 7/8' h), 42 small leaves (each 3/4ﾔ h x 7/8ﾔ w), 6 baby owls (each 2 1/8ﾔ h x 2ﾔ w with 2 3/4ﾔ wide wingspan), and 11 moss patches</li>
<li>Removable and reusable</li>
<li>Safe for walls</li>","Nothing says ""Owl always be here for you"" like an owl family tree that won't damage walls or lose a single lovely leaf. Simply peel and stick to give bedrooms, bathrooms, playrooms, and nurseries a dose of adorable owl appeal. To design the family nest that fits you best, rearrange these repositionable owl wall decals until your pretty parliament looks perfect. Every wall decal in this head-turning kit is removable, reusable, and completely safe for surfaces.","<li>HOW DO I APPLY WALLCANDY_?</li>
<li>Application is a simple three-step process of peel, place then smooth with your hand. Your WallCandy can be rearranged and easily removed numerous times. Freshly painted or cleaned walls should be completely dry before applying the product. Completely dry may be longer than you think. In some room environments that could mean a few weeks for every layer to be cured.</li>
<br>
<li>HOW LONG WILL MY WALLCANDY_ STAY UP ON MY WALL?</li>
<li>WallCandy is as easy to remove as it is to install but left alone it will stay on your wall for 3-5 glorious, artful years or more.</li>
<br>
<li>WILL WALLCANDY_ STICK TO ANY WALL IN MY HOUSE?</li>
<li>WallCandy adheres to most clean and smooth surface.</li>","Non-toxic PVC Vinyl with a low tack adhesive. It is non-phthalate, contains no VOC's or lead.",,"I Heart Owl Wall Decal",1,"simple"
"english","base","Default","simple","DottiLicious-WCARTS","Dottilicious",,,"<li>80 multi-colored polka dot wall decals (ranging in diameter from 1"" to 10""). Colors in each kit include Bright Pink, Baby Pink, Sea Blue, Robin's Egg Blue, Lime, Sunshine Yellow, and Chocolate Brown.</li>
<li>Removable and reusable</li>
<li>Safe for walls</li>
<p></p>
<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/K0-I7OthtaU?rel=0"" frameborder=""0"" allowfullscreen></iframe>
<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/KgrWpgXZAFQ?rel=0"" frameborder=""0"" allowfullscreen></iframe>","Create a different wall for every day. Your options for a pack of polka dot wall decals are endless! Sweeten shelves, sprinkle vanilla rooms with oversized confetti, or complement a cute wall color with a dotted accent ceiling. Decorate nurseries and playrooms or yoga studios and ice cream parlors. Your design dream-come-true is peel-and-stick simple. Remove and reuse each dot as often as you like without damaging the surfaces you hold dear.","<li>HOW DO I APPLY WALLCANDY_?</li>
<li>Application is a simple three-step process of peel, place then smooth with your hand. Your WallCandy can be rearranged and easily removed numerous times. Freshly painted or cleaned walls should be completely dry before applying the product. Completely dry may be longer than you think. In some room environments that could mean a few weeks for every layer to be cured.</li>
<br>
<li>HOW LONG WILL MY WALLCANDY_ STAY UP ON MY WALL?</li>
<li>WallCandy is as easy to remove as it is to install but left alone it will stay on your wall for 3-5 glorious, artful years or more.</li>
<br>
<li>WILL WALLCANDY_ STICK TO ANY WALL IN MY HOUSE?</li>
<li>WallCandy adheres to most clean and smooth surface.</li>","Non-toxic PVC Vinyl with a low tack adhesive. It is non-phthalate, contains no VOC's or lead.",,"Dottilicious",1,"simple"
"english","base","Default","simple","FlutterFlies2-WCARTS","Flutterflies 2 Wall Decal",,,"<li>84 butterfly wall stickers</li>
<li>Removable and reusable</li>
<li>Safe for walls</li>","A wall brightened with light bursts of butterfly wall stickers is the perfect backdrop for pretend garden parties with Mr. Bunny and his buddies. Simply peel and stick to turn your bedroom, bathroom, or playroom into the most splendid butterfly conservatory in town. Arrange and rearrange a brilliant butterfly blastoff across one wall, or create a casual rabble hangout throughout the room. Each butterfly wall sticker is repositionable, removabl, reusable, and safe for wall surfaces.","<li>HOW DO I APPLY WALLCANDY_?</li>
<li>Application is a simple three-step process of peel, place then smooth with your hand. Your WallCandy can be rearranged and easily removed numerous times. Freshly painted or cleaned walls should be completely dry before applying the product. Completely dry may be longer than you think. In some room environments that could mean a few weeks for every layer to be cured.</li>
<br>
<li>HOW LONG WILL MY WALLCANDY_ STAY UP ON MY WALL?</li>
<li>WallCandy is as easy to remove as it is to install but left alone it will stay on your wall for 3-5 glorious, artful years or more.</li>
<br>
<li>WILL WALLCANDY_ STICK TO ANY WALL IN MY HOUSE?</li>
<li>WallCandy adheres to most clean and smooth surface.</li>","Non-toxic PVC Vinyl with a low tack adhesive. It is non-phthalate, contains no VOC's or lead.",,"Flutterflies 2 Wall Decal",1,"simple"
"english","base","Default","simple","OverlapHearts-WCARTS","Overlapping Hearts Wall Decal",,,"<li>Over 50 single and overlapping hearts (ranging in size from 1.5"" w to 12"" w)</li>
<li>Removable and reusable</li>
<li>Safe for walls</li>",,"<li>HOW DO I APPLY WALLCANDY_?</li>
<li>Application is a simple three-step process of peel, place then smooth with your hand. Your WallCandy can be rearranged and easily removed numerous times. Freshly painted or cleaned walls should be completely dry before applying the product. Completely dry may be longer than you think. In some room environments that could mean a few weeks for every layer to be cured.</li>
<br>
<li>HOW LONG WILL MY WALLCANDY_ STAY UP ON MY WALL?</li>
<li>WallCandy is as easy to remove as it is to install but left alone it will stay on your wall for 3-5 glorious, artful years or more.</li>
<br>
<li>WILL WALLCANDY_ STICK TO ANY WALL IN MY HOUSE?</li>
<li>WallCandy adheres to most clean and smooth surface.</li>","Non-toxic PVC Vinyl with a low tack adhesive. It is non-phthalate, contains no VOC's or lead.",,"Overlapping Hearts Wall Decal",1,"simple"
"english","base","Default","simple","Blossoms-WCARTS","Flower Blossoms Wall Decal",,,"<li>12 bright pink flowers (each up to 13"" tall), 12 light pink flowers (each up to 13"" tall), and 24 yellow flowers (each up to 13"" tall), 12 butterflies, and 12 blue birds</li>
<li>Removable and reusable</li>
<li>Safe for walls</li>",,"<li>HOW DO I APPLY WALLCANDY_?</li>
<li>Application is a simple three-step process of peel, place then smooth with your hand. Your WallCandy can be rearranged and easily removed numerous times. Freshly painted or cleaned walls should be completely dry before applying the product. Completely dry may be longer than you think. In some room environments that could mean a few weeks for every layer to be cured.</li>
<br>
<li>HOW LONG WILL MY WALLCANDY_ STAY UP ON MY WALL?</li>
<li>WallCandy is as easy to remove as it is to install but left alone it will stay on your wall for 3-5 glorious, artful years or more.</li>
<br>
<li>WILL WALLCANDY_ STICK TO ANY WALL IN MY HOUSE?</li>
<li>WallCandy adheres to most clean and smooth surface.</li>","Non-toxic PVC Vinyl with a low tack adhesive. It is non-phthalate, contains no VOC's or lead.",,"Flower Blossoms Wall Decal",1,"simple"
"english","base","Default","simple","7323-ZZ-CLOUDB","Twilight Turtle Classic","2 Years and Up",,"<li>Light can be switched between amber, green and blue</li>
<li>Light automatically shuts off after 45 minutes</li>
<li>Includes illustrated star guide</li>
<li>Measures 12"" x 7 1/4"" x 3 1/2""</li>
<li>Batteries included (three AAA batteries)</li>
<br>
<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/Y5m5iFjWMME?rel=0"" frameborder=""0"" allowfullscreen></iframe>
<iframe width=""560"" height=""315"" src=""http://www.youtube.com/embed/M2S4ZUCRLi8?rel=0"" frameborder=""0"" allowfullscreen></iframe>","Sweet dreams are made of this. Our soft and plush turtle nightlight radiates a tranquil, star-studded light to help little ones drift off to sleep. More than a nightlight and friendly bedtime companion, it projects constellations on the ceiling and walls, transforming a child's bedroom into a planetarium.",,"Plastic",,"Twilight Turtle Classic",1,"simple"
"english","base","Default","simple","7353-ZZ-CLOUDB","Twilight Lady Bug - Red","2 Years and Up",,"<li>Light can be switched between white, green and blue</li>
<li>Light automatically shuts off after 45 minutes</li>
<li>Includes illustrated star guide</li>
<li>Measures 12"" x 7 1/4"" x 3 1/2""</li>
<li>Batteries included (three AAA batteries)</li>
<br>
<iframe width=""560"" height=""315"" src=""//www.youtube.com/embed/M2S4ZUCRLi8?rel=0"" frameborder=""0"" allowfullscreen></iframe>","Sweet dreams are made of this. Our soft and plush ladybug nightlight radiates a tranquil, star-studded light to help little ones drift off to sleep. More than a nightlight and friendly bedtime companion, it projects constellations on the ceiling and wall, transforming a child's bedroom into a planetarium.",,"Plastic",,"Twilight Lady Bug - Red",1,"simple"
