"sku","name","miniblog"
"SH-Wht-12mo-UN","有機認證埃及棉!小天使遮陽帽(3-12M)",""
"SH-Wht-18mo-UN","有機認證埃及棉!小天使遮陽帽(12-24M)",""
"RWL-Navy-9mo-UN","埃及有機認證棉! 寶寶反摺束腳長褲(6-9M)",""
"RWL-Navy-18mo-UN","埃及有機認證棉! 寶寶反摺束腳長褲(12-18M)",""
"BBR-Navy9m-UN","有機認證埃及棉-活力包屁衣(6-9M)",""
"BBR-Navy18m-UN","有機認證埃及棉-活力包屁衣(12-18M)",""
"I20-713-273-TG-UN","有機認證!透氣有機棉紗側扣肚衣長褲組",""
"I2-836-304-TG-UN","有機認證埃及棉-連身包屁洋裝",""
"I20-776-273-BU-UN","有機認證!透氣棉紗嬰兒帽",""
"I20-775-273-TG-UN","有機認證!透氣棉紗側綁連身和服",""
"I2-819-306-NB-UN","有機認證埃及棉-側扣連身包腳兔裝(粉)",""
"I2-819-307-NB-UN","有機認證埃及棉-側扣連身包腳兔裝(藍)",""
"I2-822-306-NB-UN","有機認證埃及棉-側扣嬰兒長袍(粉)",""
"I2-822-307-NB-UN","有機認證埃及棉-側扣嬰兒長袍(藍)",""
"I2-821-306-NB-UN","有機認證埃及棉-側綁嬰兒衣褲組(粉)",""
"I2-821-307-NB-UN","有機認證埃及棉-側綁嬰兒衣褲組(藍)",""
"47AFW01S-EdgePub","聰明數字運算轉盤",""
"36WFC01S-EdgePub","逗趣字母拼字閃卡",""
"36TFE01S-EdgePub","可愛字母學習閃卡",""
"35NFE01S-EdgePub","繽紛數目圖片閃卡",""
"MstBxr2yWhl-CB","白底彈性短褲 - 小鯨魚 (1-2歲)",""
"MstBxr2yW-CB","白底藍字彈性短褲 - 英文字w (1-2歲)",""
"MstBxr1yW-CB","白底藍字彈性短褲 - 英文字w (0-1歲)",""
"MstBxr2ySea-CB","淡藍純棉短褲 - 小海馬 (1-2歲)",""
"MstBxr2yi-CB","淡藍純棉短褲 - 英文字i (1-2歲)",""
"MstBxr1yi-CB","淡藍純棉短褲 - 英文字i (0-1歲)",""
"LimBlmr1yA-CB","白色燈籠褲 - 泡泡糖 (0-1歲)",""
"CrlBlmr1yC-CB","白底燈籠褲 - 英文字c (0-1歲)",""
"CrlBlmr1yBrd-CB","白底燈籠褲 - 小鳥 (0-1歲)",""
"CrlBlmr1yB-CB","粉橘燈籠褲 - 英文字b (0-1歲)",""
"CrlBlmr1yTrtl-CB","粉橘燈籠褲 - 調皮烏龜 (0-1歲)",""
"MstBrtch3yWhl-CB","白色純棉休閒褲 - 小鯨魚 (2-3歲)","<p style=""text-align: center;""><span style=""font-size: medium;"">♥因為我本身在外商公司擔任國外運動品牌服裝設計師，</span><span style=""font-size: medium;"">所以對國外品牌的衣服很熟悉。</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">對我而言，衣服穿的舒適自在、設計細節及布料都很重要，特別是穿在寶寶身上。</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">因此我在為威廉買衣服時，注重質多於量。♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/CB03.jpg"" style=""cursor: default;""></p>

<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">♥好的童裝是能夠讓孩子穿的開心家長也買的安心，而好的設計能夠滿足媽媽的小小優越感！</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">我很喜歡襯衫的質料，舒服又很挺，讓小朋友穿起來特別有精神也格外的可愛。</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">&nbsp;淺藍及淺綠把孩子的膚色襯的更亮眼，<span>很符合我心中氣質小王子的裝扮！</span><span>♥</span></span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/CB02.jpg"" style=""cursor: default;""></p>

<p style=""text-align: center;""><span style=""font-size: medium;""><span><br>
</span></span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">♥</span><span style=""font-size: medium;"">很喜歡Cutey Booty這牌子的配色及細節處理，有別於一般童裝的氣質，</span></p>

<p style=""text-align: center;""><span style=""font-size: medium;"">&nbsp;特別是配色外翻的褲頭，屁股後方的小鯨魚，都是很加分的設計。</span><span style=""font-size: medium; text-align: center;"">♥</span></p>

<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/CB01_1.jpg"" style=""cursor: default;""></p>"
"CrlBrtch3yB-CB","粉橘純棉休閒褲 - 英文字b (2-3歲)",""
"CrlBrtch2yB-CB","粉橘純棉休閒褲 - 英文字b (1-2歲)",""
"MstBrtch2yC-CB","淡藍純棉休閒褲 - 英文字c (1-2歲)",""
"MstBrtch3yC-CB","淡藍純棉休閒褲 - 英文字c (2-3歲)",""
"LimBrtch3yWhl-CB","草綠純棉休閒褲 - 小鯨魚 (2-3歲)","<p style=""text-align: center;""><br></p>
<p><br></p>
"
"LimBrtch2yA-CB","草綠純棉休閒褲 - 英文a (1-2歲)",""
"LimBrtch3yA-CB","草綠純棉休閒褲 - 英文a (2-3歲)",""
"MstBwlr3y-CB","純棉藍白襯衫(2-3歲)",""
"MstBwlr2y-CB","純棉藍白襯衫(1-2歲)",""
"LimBwlr3y-CB","純棉草綠淺藍襯衫(2-3y)","<p style=""text-align: center;""><span style=""font-size: medium;"">♥因為我本身在外商公司擔任國外運動品牌服裝設計師，</span><span style=""font-size: medium;"">所以對國外品牌的衣服很熟悉。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">對我而言，衣服穿的舒適自在、設計細節及布料都很重要，特別是穿在寶寶身上。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">因此我在為威廉買衣服時，注重質多於量。♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/CB03.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥好的童裝是能夠讓孩子穿的開心家長也買的安心，而好的設計能夠滿足媽媽的小小優越感！</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">我很喜歡襯衫的質料，舒服又很挺，讓小朋友穿起來特別有精神也格外的可愛。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">&nbsp;淺藍及淺綠把孩子的膚色襯的更亮眼，<span>很符合我心中氣質小王子的裝扮！</span><span>♥</span></span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/CB02.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><span><br>
</span></span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥</span><span style=""font-size: medium;"">很喜歡Cutey Booty這牌子的配色及細節處理，有別於一般童裝的氣質，</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">&nbsp;特別是配色外翻的褲頭，屁股後方的小鯨魚，都是很加分的設計。</span><span style=""font-size: medium; text-align: center;"">♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/CB01_1.jpg"" style=""cursor: default;""></p>"
"LimBwlr2y-CB","純棉草綠淺藍襯衫(1-2y)","<p style=""text-align: center;""><span style=""font-size: medium;"">♥因為我本身在外商公司擔任國外運動品牌服裝設計師，</span><span style=""font-size: medium;"">所以對國外品牌的衣服很熟悉。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">對我而言，衣服穿的舒適自在、設計細節及布料都很重要，特別是穿在寶寶身上。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">因此我在為威廉買衣服時，注重質多於量。♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/CB03.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><br>
</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥好的童裝是能夠讓孩子穿的開心家長也買的安心，而好的設計能夠滿足媽媽的小小優越感！</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">我很喜歡襯衫的質料，舒服又很挺，讓小朋友穿起來特別有精神也格外的可愛。</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">&nbsp;淺藍及淺綠把孩子的膚色襯的更亮眼，<span>很符合我心中氣質小王子的裝扮！</span><span>♥</span></span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/CB02.jpg"" style=""cursor: default;""></p>




<p style=""text-align: center;""><span style=""font-size: medium;""><span><br>
</span></span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">♥</span><span style=""font-size: medium;"">很喜歡Cutey Booty這牌子的配色及細節處理，有別於一般童裝的氣質，</span></p>




<p style=""text-align: center;""><span style=""font-size: medium;"">&nbsp;特別是配色外翻的褲頭，屁股後方的小鯨魚，都是很加分的設計。</span><span style=""font-size: medium; text-align: center;"">♥</span></p>




<p style=""text-align: center;""><img src=""http://www.mamaky.com/media//wysiwyg/CB01_1.jpg"" style=""cursor: default;""></p>"
"9011-2T-Tomat","水藍荷葉-小洋裝(樹葉2T) ",""
"1104-2T-Tomat","水藍荷葉-小洋裝(鳥兒2T)",""
"9011-12m-Tomat","水藍荷葉-小洋裝(樹葉12m) ",""
"1104-12m-Tomat","水藍荷葉-小洋裝(鳥兒12M)",""
"1411-2T-Tomat","粉紅星空-小洋裝(粉2T)",""
"1411-12m-Tomat","粉紅星空-小洋裝(粉12M)",""
"8002-2T-Tomat","優雅單車-連身包屁衣(銀河藍2T) ",""
"1301-12m-Tomat","愛的氣息-連身包屁衣(淺灰12m)",""
"1441-12m-Tomat","星星有機棉長褲(深灰12m) ",""
"1441-6m-Tomat","星星有機棉長褲(深灰6m) ",""
"1421-12m-Tomat","閃爍星空-長袖Ｔ(深灰12m)    ",""
"1421-6m-Tomat","閃爍星空-長袖Ｔ(深灰6m)    ",""
"1442-12m-Tomat","奔速閃電-長褲(深灰12m)",""
"1442-6m-Tomat","奔速閃電-長褲(深灰6m)",""
"1422-12m-Tomat","奔速閃電-長袖Ｔ(深灰12m)   ",""
"1422-6m-Tomat","奔速閃電-長袖Ｔ(深灰6m) ",""
"7207-LEARN","聰明點心！披薩切切樂-認識分數組",""
"7203-LEARN","聰明點心！美味甜筒-顏色單字組",""
"7201-LEARN","聰明點心！數字餅乾罐",""
"9048-LEARN","專業醫師工具箱－19件組",""
"9077-LEARN","冰淇淋創意食玩-豪華商店組",""
"7287-LEARN","寶貝切切樂！健康蔬果食玩組",""
"9720-LEARN","水果攤食玩組",""
"9732-LEARN","豪華晚餐籃－18件食玩組",""
"9730-LEARN","豪華早餐籃－16件食玩組",""
"9266-LEARN","郊遊野餐籃－15件食玩組",""
"9155-LEARN","家家酒彩色鍋具組",""
"3294-LEARN","「我會自己來!」可吃可玩餐具組",""
"9082-LEARN","天才小神廚！豪華料理遊戲組",""
"2629-LEARN","超有趣！太陽能收銀計算機",""
