"sku"	"image"	"small_image"	"thumbnail"	"_media_attribute_id"	"_media_position"	"_media_is_disabled "	"_media_image"
"FB20-WCARTS"	"/Princess.jpg"	"/Princess.jpg"	"/Princess.jpg"	88	1	0	
"FB20-WCARTS"				88	2	0	"/Princess_Lifestyle.jpg"
"SeasonOS-WCARTS"	"/SeasonsTreeWall.jpg"	"/SeasonsTreeWall.jpg"	"/SeasonsTreeWall.jpg"	88	1	0	
"SeasonOS-WCARTS"				88	2	0	"/SeasonsTree_Lifestyle.jpg"
"SeasonOS-WCARTS"				88	3	0	"/SeasonsTree_Lifestyle2.jpg"
"SeasonOS-WCARTS"				88	4	0	"/SeasonsTree_Lifestyle3.jpg"
"FB19-WCARTS"	"/JungleWall.jpg"	"/JungleWall.jpg"	"/JungleWall.jpg"	88	1	0	
"FB19-WCARTS"				88	2	0	"/JungleWall_Lifestyle.jpg"
"IHartOwl-WCARTS"	"/IHeartOwls_Lifestyle.jpg"	"/IHeartOwls_Lifestyle.jpg"	"/IHeartOwls_Lifestyle.jpg"	88	1	0	
"DottiLicious-WCARTS"	"/DottiLicious_Lifestyle.jpg"	"/DottiLicious_Lifestyle.jpg"	"/DottiLicious_Lifestyle.jpg"	88	1	0	
"DottiLicious-WCARTS"	"/DottiLicious_Lifestyle2.jpg"			88	2	0	"/DottiLicious_Lifestyle2.jpg"
"DottiLicious-WCARTS"	"/DottiLicious.jpg"			88	3	0	"/DottiLicious.jpg"
"FlutterFlies2-WCARTS"	"/Flutterflies2.jpg"	"/Flutterflies2.jpg"	"/Flutterflies2.jpg"	88	1	0	
"FlutterFlies2-WCARTS"				88	2	0	"/Flutterflies2_Lifestyle.jpg"
"OverlapHearts-WCARTS"	"/OverlappingHearts_Lifestyle.jpg"	"/OverlappingHearts_Lifestyle.jpg"	"/OverlappingHearts_Lifestyle.jpg"	88	1	0	
"OverlapHearts-WCARTS"				88	2	0	"/OverlappingHearts.jpg"
"Blossoms-WCARTS"	"/Blossoms.jpg"	"/Blossoms.jpg"	"/Blossoms.jpg"	88	1	0	
"Blossoms-WCARTS"				88	2	0	"/Blossoms_Lifestyle.jpg"
