"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","msrp_enabled","msrp_display_actual_price_type","options_container","url_path","age","gallery","dimension","country_of_manufacture","price","special_price","cost","weight","msrp","color","visibility","featured","enable_googlecheckout","is_recurring","status","manufacturer","tax_class_id","description","short_description","faq","material","warnings","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple",,"R2C-FU-1-PLUIE",0,"兒童雨衣-透明桃紅 Size 1/2","pluie-pluie-transparent-raincoat-fuchsia-trim-size1to3","Use config","Use config","Block after Info Column","pluie-pluie-transparent-raincoat-fuchsia-trim-size1to3.html","1〜3歲",,"肩寬約28cm,總長約43cm,袖長約24cm","China",1490,1890,,1,1263,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>時尚簡潔的造型，實穿好搭配</li>
<li>雨天的必備品</li>
<li>材質安全，不含PVC，無塑膠臭味</li>
","透明材質的防水雨衣，搭配桃紅飾邊。不僅造型簡潔時尚，且實穿好搭配。方便的壓扣設計，能讓孩子快速穿脫。安全的材質，不含PVC。穿上Pluie Pluie，長長的梅雨季節也不再令人討厭！別忘了幫寶貝搭配一系列的雨鞋和雨傘喔！
",,"聚酯纖維(不含PVC)","乾布擦拭/通風晾乾",1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"兒童雨衣-透明桃紅 Size 1/2",0,"simple",,
"admin","base","Default","simple",,"R2B-FU-6-PLUIE",0,"兒童雨靴-桃紅 Size 6","pluie-pluie-transparent-rain-boot-fuchsia-bow-size6","Use config","Use config","Block after Info Column","pluie-pluie-transparent-rain-boot-fuchsia-bow-size6.html",,,"雨鞋內墊約14.5cm","China",950,1467,,1,978,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>可愛吸睛、下雨天的必備品</li>
<li>高品質橡膠、安全無毒、實用耐穿</li>
<li>可搭配同系列雨衣和雨傘</li>
","俏麗鮮豔的桃紅色系，搭配可愛的蝴蝶結裝飾。寶貝穿上它，馬上成為街上最可愛的甜美女孩，有了Pluie Pluie，長長的梅雨季節也不再令人討厭！別忘了幫寶貝搭配一系列的雨衣和雨傘喔！",,"100% 橡膠","雨鞋保養-清水擦拭/通風晾乾/避開強光熱源",1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"兒童雨靴-桃紅 Size 6",0,"simple",,
"admin","base","Default","simple",,"R2U-FU-PLUIE",0,"兒童雨傘-透明桃紅","pluie-pluie-transparent-fuchsia-umbrella","Use config","Use config","Block after Info Column","pluie-pluie-transparent-fuchsia-umbrella.html",,,"One-size (傘架長度約48cm)","China",620,765,,1,554,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>可愛亮眼的雨天必備品</li>
<li>傘柄開闔輕鬆容易</li>
<li>圓角包邊，孩子不易受傷</li>
","不論晴天、雨天，家裡的小小女孩一定都對這把雨傘愛不釋手。透明材質裝飾可愛蝴蝶結，造型吸睛不會擋住視線，好開闔的傘柄與安全的圓角，絕對是兒童雨傘的最佳選擇。別忘了幫寶貝搭配一系列的雨鞋和雨衣喔！
",,"100%聚酯纖維",,0,0,1,0,0,1,1,1,0,1,0,,,1,0,1,1,1,0,1,0,0,0,1,"兒童雨傘-透明桃紅",0,"simple",,
"admin","base","Default","simple",,"R2C-FU-2-PLUIE",0,"兒童雨衣-透明桃紅 Size 2/3","pluie-pluie-transparent-raincoat-fuchsia-trim-size2to4","Use config","Use config","Block after Info Column","pluie-pluie-transparent-raincoat-fuchsia-trim-size2to4.html","2〜4歲 ",,"肩寬約30cm,總長約48.5cm,袖長約28cm","China",1490,1890,,1,1263,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>時尚簡潔的造型，實穿好搭配</li>
<li>雨天的必備品</li>
<li>材質安全，不含PVC，無塑膠臭味</li>
","透明材質的防水雨衣，搭配桃紅飾邊。不僅造型簡潔時尚，且實穿好搭配。方便的壓扣設計，能讓孩子快速穿脫。安全的材質，不含PVC。穿上Pluie Pluie，長長的梅雨季節也不再令人討厭！別忘了幫寶貝搭配一系列的雨鞋和雨傘喔！",,"聚酯纖維(不含PVC)","乾布擦拭/通風晾乾",1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"兒童雨衣-透明桃紅 Size 2/3",0,"simple",,
"admin","base","Default","simple",,"R2C-FU-4-PLUIE",0,"兒童雨衣-透明桃紅 Size 4/5","pluie-pluie-transparent-raincoat-fuchsia-trim-size4to6","Use config","Use config","Block after Info Column","pluie-pluie-transparent-raincoat-fuchsia-trim-size4to6.html","4〜6歲",,"肩寬約32cm,總長約58cm,袖長約36cm","China",1490,1890,,1,1263,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>時尚簡潔的造型，實穿好搭配</li>
<li>雨天的必備品</li>
<li>材質安全，不含PVC，無塑膠臭味</li>
","透明材質的防水雨衣，搭配桃紅飾邊。不僅造型簡潔時尚，且實穿好搭配。方便的壓扣設計，能讓孩子快速穿脫。安全的材質，不含PVC。穿上Pluie Pluie，長長的梅雨季節也不再令人討厭！別忘了幫寶貝搭配一系列的雨鞋和雨傘喔！",,"聚酯纖維(不含PVC)","乾布擦拭/通風晾乾",3,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"兒童雨衣-透明桃紅 Size 4/5",0,"simple",,
"admin","base","Default","simple",,"R2B-FU-8-PLUIE",0,"兒童雨靴-桃紅 Size 8","pluie-pluie-transparent-rain-boot-fuchsia-bow-size8","Use config","Use config","Block after Info Column","pluie-pluie-transparent-rain-boot-fuchsia-bow-size8.html",,,"鞋內墊約16.5cm","China",950,1467,,1,978,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>可愛吸睛、下雨天的必備品</li>
<li>高品質橡膠、安全無毒，實用耐穿</li>
<li>可搭配同系列雨衣和雨傘</li>
","俏麗鮮豔的桃紅色系，搭配可愛的蝴蝶結裝飾。寶貝穿上它，馬上成為街上最可愛的甜美女孩，有了Pluie Pluie，長長的梅雨季節也不再令人討厭！別忘了幫寶貝搭配一系列的雨衣和雨傘喔！  ",,"100% 橡膠","雨鞋保養-清水擦拭/通風晾乾/避開強光熱源",0,0,1,0,0,1,1,1,0,1,0,,,1,0,1,1,1,0,1,0,0,0,1,"兒童雨靴-桃紅 Size 8",0,"simple",,
"admin","base","Default","simple",,"RC-FP-1-PLUIE",0,"兒童雨衣-繽紛花季 Size 1/2","pluie-pluie-floral-print-raincoat-size1to3","Use config","Use config","Block after Info Column","pluie-pluie-floral-print-raincoat-size1to3.html","1〜3歲",,"肩寬約28cm,總長約43cm,袖長約24cm","China",1490,1890,,1,1263,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>方便穿脫、造型吸睛搶眼</li>
<li>安全材質，不含PVC，無塑膠臭味</li>
<li>可搭配同系列雨鞋和雨傘</li>
","透明材質的防水雨衣，搭配桃紅飾邊。不僅造型簡潔時尚，且實穿好搭配。方便的壓扣設計，能讓孩子快速穿脫。安全的材質，不含PVC。穿上Pluie Pluie，長長的梅雨季節也不再令人討厭！別忘了幫寶貝搭配一系列的雨鞋和雨傘喔！",,"聚酯纖維(不含PVC)","乾布擦拭/通風晾乾",1,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"兒童雨衣-繽紛花季 Size 1/2",0,"simple",,
"admin","base","Default","simple",,"RC-FP-2-PLUIE",0,"兒童雨衣-繽紛花季 Size 2/3","pluie-pluie-floral-print-raincoat-size2to4","Use config","Use config","Block after Info Column","pluie-pluie-floral-print-raincoat-size2to4.html","2〜4歲 ",,"肩寬約30cm,總長約48.5cm,袖長約28cm","China",1490,1890,,1,1263,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>方便穿脫、造型吸睛搶眼</li>
<li>安全材質，不含PVC，無塑膠臭味</li>
<li>可搭配同系列雨鞋和雨傘</li>
","透明材質的防水雨衣，搭配桃紅飾邊。不僅造型簡潔時尚，且實穿好搭配。方便的壓扣設計，能讓孩子快速穿脫。安全的材質，不含PVC。穿上Pluie Pluie，長長的梅雨季節也不再令人討厭！別忘了幫寶貝搭配一系列的雨鞋和雨傘喔！",,"聚酯纖維(不含PVC)","乾布擦拭/通風晾乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,1,1,0,1,0,0,0,1,"兒童雨衣-繽紛花季 Size 2/3",0,"simple",,
"admin","base","Default","simple",,"RC-FP-4-PLUIE",0,"兒童雨衣-繽紛花季 Size 4/5","pluie-pluie-floral-print-raincoat-size4to6","Use config","Use config","Block after Info Column","pluie-pluie-floral-print-raincoat-size4to6.html","4〜6歲",,"肩寬約32cm,總長約58cm,袖長約36cm","China",1490,1890,,1,1263,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>方便穿脫、造型吸睛搶眼</li>
<li>安全材質，不含PVC，無塑膠臭味</li>
<li>可搭配同系列雨鞋和雨傘</li>
","透明材質的防水雨衣，搭配桃紅飾邊。不僅造型簡潔時尚，且實穿好搭配。方便的壓扣設計，能讓孩子快速穿脫。安全的材質，不含PVC。穿上Pluie Pluie，長長的梅雨季節也不再令人討厭！別忘了幫寶貝搭配一系列的雨鞋和雨傘喔！",,"聚酯纖維(不含PVC)","乾布擦拭/通風晾乾",4,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"兒童雨衣-繽紛花季 Size 4/5",0,"simple",,
"admin","base","Default","simple",,"RB-FP-6-PLUIE",0,"兒童雨靴-繽紛花季 Size 6","pluie-pluie-floral-print-rain-boot-size6","Use config","Use config","Block after Info Column","pluie-pluie-floral-print-rain-boot-size6.html",,,"雨鞋內墊約14.5cm","China",950,1467,,1,978,,"Catalog, Search","No","Yes","No","Enabled","Pluie Pluie","None","<li>可愛吸睛、下雨天的必備品</li> <li>高品質橡膠、安全耐穿</li> <li>可搭配同系列雨衣和雨傘</li>","繽紛的優雅印花，寶貝穿上它，馬上就是一位可愛的名媛。鞋上的小小把手設計，不僅好看且方便穿脫。有了Pluie Pluie，長長的梅雨季節也不再令人討厭！別忘了幫寶貝搭配一系列的雨衣和雨傘喔！",,"100% 橡膠","雨鞋保養-清水擦拭/通風晾乾/避開強光熱源",2,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"兒童雨靴-繽紛花季 Size 6",0,"simple",,
