"store","websites","attribute_set","type","sku","name","age","dimension","description","short_description","faq","material","warnings","product_name","store_id","product_type_id"
"english","base","Default","simple","R2C-FU-1-PLUIE","Transparent Rain Coat in Fuchsia Trim, Size 1/2 ","1 to 3 yrs","1 / 2","<li>2013 design by Pluie Pluie!</li>
<li>100% cotton inner for soft and comfortable all-day wear. PVC free!</li>
<li>Perfect raincoat for spring, early summer and fall. *Winter raincoats feature fleece-lined inner for warmer wear.</li>
","European design rain gear by Pluie Pluie. You will love this elegantly stylish, Pluie Pluie transparent raincoat with Fuchsia trim. The raincoat features snap buttons for easy on and off",,,"Handwash with light soap, and hang-dry. Do not iron.",,,
"english","base","Default","simple","R2B-FU-6-PLUIE","Rain Boots Fuchsia Bow, Size 6",,"Size: 6","<li>2013 design by Pluie Pluie!</li> <li>100% rubber with long-lasting sole and no-slip tread</li> <li>Matches Transparent Raincoat with Fuchsia Trim, and Transparent Fuchsia Umbrella","These rain boots for girls by Pluie Pluie come in a lovely fuchsia color with a bow decoration and black trim - great for going out and for wearing to school! The rain boots come with pull on handles for easy taking on and off. ",,,,,,
"english","base","Default","simple","R2U-FU-PLUIE","Transparent Fuchsia Umbrella, One-Size ",," One Size","<li>2013 design by Pluie Pluie!</li>
<li>Matches Transparent Raincoat with Fuchsia Trim, and Fuchsia Bow Rain Boots</li>","Rain or shine, your girl will love using this transparent umbrella in fuchsia trim and a printed dainty bow. It opens and closes easily.",,,,,,
"english","base","Default","simple","R2C-FU-2-PLUIE","Transparent Rain Coat in Fuchsia Trim, Size 2/3 ","2 to 4yrs","2 / 3","<li>2013 design by Pluie Pluie!</li>
<li>100% cotton inner for soft and comfortable all-day wear. PVC free!</li>
<li>Perfect raincoat for spring, early summer and fall. *Winter raincoats feature fleece-lined inner for warmer wear.</li>
","European design rain gear by Pluie Pluie. You will love this elegantly stylish, Pluie Pluie transparent raincoat with Fuchsia trim. The raincoat features snap buttons for easy on and off.",,,"Handwash with light soap, and hang-dry. Do not iron",,,
"english","base","Default","simple","R2C-FU-4-PLUIE","Transparent Rain Coat in Fuchsia Trim, Size 4/5","4 to 6 yrs","4 / 5","<li>2013 design by Pluie Pluie!</li>
<li>100% cotton inner for soft and comfortable all-day wear. PVC free!</li>
<li>Perfect raincoat for spring, early summer and fall. *Winter raincoats feature fleece-lined inner for warmer wear.</li>
","European design rain gear by Pluie Pluie. You will love this elegantly stylish, Pluie Pluie transparent raincoat with Fuchsia trim. The raincoat features snap buttons for easy on and off.",,,"Handwash with light soap, and hang-dry. Do not iron.",,,
"english","base","Default","simple","R2B-FU-8-PLUIE","Rain Boots Fuchsia Bow, Size 8 ",,"Size: 8 ","<li>2013 design by Pluie Pluie!</li> <li>100% rubber with long-lasting sole and no-slip tread</li> <li>Matches Transparent Raincoat with Fuchsia Trim, and Transparent Fuchsia Umbrella","These rain boots for girls by Pluie Pluie come in a lovely fuchsia color with a bow decoration and black trim - great for going out and for wearing to school! The rain boots come with pull on handles for easy taking on and off. ",,,,,,
"english","base","Default","simple","RC-FP-1-PLUIE","Floral Print Rain Coat, Size 1/2","1 to 3 yrs","1 / 2","<li>2013 design by Pluie Pluie!</li>
<li>100% cotton inner for soft and comfortable all-day wear. PVC free!</li>
<li>Perfect raincoat for spring, early summer and fall. *Winter raincoats feature fleece-lined inner for warmer wear.</li>
","European design rain gear by Pluie Pluie. You will love this elegantly stylish, Pluie Pluie transparent raincoat with Fuchsia trim. The raincoat features snap buttons for easy on and off.",,,"Handwash with light soap, and hang-dry. Do not iron.",,,
"english","base","Default","simple","RC-FP-2-PLUIE","Floral Print Rain Coat, Size 2/3","2 to 4yrs","2 / 3","<li>2013 design by Pluie Pluie!</li>
<li>100% cotton inner for soft and comfortable all-day wear. PVC free!</li>
<li>Perfect raincoat for spring, early summer and fall. *Winter raincoats feature fleece-lined inner for warmer wear.</li>
","European design rain gear by Pluie Pluie. You will love this elegantly stylish, Pluie Pluie transparent raincoat with Fuchsia trim. The raincoat features snap buttons for easy on and off.",,,"Handwash with light soap, and hang-dry. Do not iron.",,,
"english","base","Default","simple","RC-FP-4-PLUIE","Floral Print Rain Coat, Size 4/5","4 to 6 yrs","4 / 5","<li>2013 design by Pluie Pluie!</li>
<li>100% cotton inner for soft and comfortable all-day wear. PVC free!</li>
<li>Perfect raincoat for spring, early summer and fall. *Winter raincoats feature fleece-lined inner for warmer wear.</li>
","European design rain gear by Pluie Pluie. You will love this elegantly stylish, Pluie Pluie transparent raincoat with Fuchsia trim. The raincoat features snap buttons for easy on and off.",,,"Handwash with light soap, and hang-dry. Do not iron.",,,
"english","base","Default","simple","RB-FP-6-PLUIE","Rain Boots Floral Print, Size 6",,"Size: 6",,"These rain boots for girls by Pluie Pluie come in a classy floral print - great for going out and for wearing to school! The rain boots come with pull on handles for easy taking on and off. ",,,,,,
"english","base","Default","simple","RU-FP-PLUIE","Floral Print Umbrella, One-Size",,"One-size(19'')","<li>2013 design by Pluie Pluie!</li>
<li>Matches Transparent Raincoat with Fuchsia Trim, and Fuchsia Bow Rain Boots</li>","Rain or shine, your girl will love using this umbrella. It opens and closes easily.",,,,,,
"english","base","Default","simple","RC-CD-1-PLUIE","Candy Dot Rain Coat, Size 1/2 ","1 to 3 yrs","1 / 2","<li>2013 design by Pluie Pluie!</li>
<li>100% cotton inner for soft and comfortable all-day wear. PVC free!</li>
<li>Perfect raincoat for spring, early summer and fall. *Winter raincoats feature fleece-lined inner for warmer wear.</li>
","European design rain gear by Pluie Pluie. You will love this elegantly stylish, Pluie Pluie transparent raincoat with Fuchsia trim. The raincoat features snap buttons for easy on and off.",,,"Handwash with light soap, and hang-dry. Do not iron.",,,
"english","base","Default","simple","RC-CD-2-PLUIE","Candy Dot Rain Coat, Size 2/3","2 to 4yrs","2 / 3","<li>2013 design by Pluie Pluie!</li>
<li>100% cotton inner for soft and comfortable all-day wear. PVC free!</li>
<li>Perfect raincoat for spring, early summer and fall. *Winter raincoats feature fleece-lined inner for warmer wear.</li>
","European design rain gear by Pluie Pluie. You will love this elegantly stylish, Pluie Pluie transparent raincoat with Fuchsia trim. The raincoat features snap buttons for easy on and off.",,,"Handwash with light soap, and hang-dry. Do not iron.",,,
"english","base","Default","simple","RC-CD-4-PLUIE","Candy Dot Rain Coat, Size 4/5","4 to 6 yrs","4 / 5","<li>2013 design by Pluie Pluie!</li>
<li>100% cotton inner for soft and comfortable all-day wear. PVC free!</li>
<li>Perfect raincoat for spring, early summer and fall. *Winter raincoats feature fleece-lined inner for warmer wear.</li>
","European design rain gear by Pluie Pluie. You will love this elegantly stylish, Pluie Pluie transparent raincoat with Fuchsia trim. The raincoat features snap buttons for easy on and off.",,,"Handwash with light soap, and hang-dry. Do not iron.",,,
