"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","msrp_enabled","msrp_display_actual_price_type","options_container","url_path","age","gallery","dimension","country_of_manufacture","price","special_price","cost","weight","msrp","color","visibility","featured","enable_googlecheckout","is_recurring","status","manufacturer","tax_class_id","description","short_description","faq","material","warnings","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple",,"RDM2T-EROSE",0,"璀璨無袖連身裙 2T","the-ellie-rose-rachel-dress-mystic-2t","Use config","Use config","Block after Info Column","the-ellie-rose-rachel-dress-mystic-2t.html","2-3歲",,"肩寬約24cm/前裙長約48cm後裙長約51cm","United States",1250,1985,,1,1418,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>可愛俏麗的一件式純棉洋裝，2013春夏雀躍新上市</li>
<li>精緻作工、立體剪裁、質感絕佳的休閒小洋裝</li>
<li>天真爛漫的甜美風格、實穿好搭、家有女孩兒的必買洋裝推薦</li>
","Made in USA :: The Ellie Rose將孩子眼中的豐富色彩，透過鮮豔的柔軟面料，化作一件件活潑的可愛小洋裝。2013春夏新品－璀璨無袖連身裙，繽紛的水藍花朵裙襬與鮮豔的桃紅配色，加上前長後短的俏麗剪裁，將孩子們的純真熱情做出了最棒的演譯。今夏，就讓這舒適實穿的璀璨連身裙，伴隨孩子們天真的笑容，一同在翠綠的草地上開心奔跑吧！",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",2,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"璀璨無袖連身裙 2T",0,"simple",,
"admin","base","Default","simple",,"RDM3T-EROSE",0,"璀璨無袖連身裙 3T","the-ellie-rose-rachel-dress-mystic-3t","Use config","Use config","Block after Info Column","the-ellie-rose-rachel-dress-mystic-3t.html","3-4歲",,,"United States",1560,1985,,1,1418,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>可愛俏麗的一件式純棉洋裝，2013春夏雀躍新上市</li>
<li>精緻作工、立體剪裁、質感絕佳的休閒小洋裝</li>
<li>天真爛漫的甜美風格、實穿好搭、家有女孩兒的必買洋裝推薦</li>
","Made in USA :: The Ellie Rose將孩子眼中的豐富色彩，透過鮮豔的柔軟面料，化作一件件活潑的可愛小洋裝。2013春夏新品－璀璨無袖連身裙，繽紛的水藍花朵裙襬與鮮豔的桃紅配色，加上前長後短的俏麗剪裁，將孩子們的純真熱情做出了最棒的演譯。今夏，就讓這舒適實穿的璀璨連身裙，伴隨孩子們天真的笑容，一同在翠綠的草地上開心奔跑吧！",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",0,0,1,0,0,1,1,1,0,1,0,,,1,0,1,1,1,0,1,0,0,0,1,"璀璨無袖連身裙 3T",0,"simple",,
"admin","base","Default","simple",,"PDO6-12M-EROSE",0,"浪漫海洋綁帶小洋裝 6-12個月","the-ellie-rose-phoebe-dress-ocean-6mos","Use config","Use config","Block after Info Column","the-ellie-rose-phoebe-dress-ocean-6mos.html","6-12個月",,,"United States",1480,2399,,1,1934,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>復古風格與摩登時尚的最佳結合</li>
<li>高質感剪裁、精緻配色，讓懷中的小寶貝像洋娃娃一樣甜美可愛</li>
<li>純棉材質、適合寶貝細嫩肌膚穿著、內外皆柔軟舒適</li>
<li>讓人忘不了的甜美風格、家有女孩兒的必買精品洋裝</li>
","Made in USA :: 從未見過的小女娃精品洋裝，高質感的設計與精緻的剪裁作工，將不同色彩的印花圖騰，完美的融合成一件充滿浪漫氣息的綁帶小洋裝。小小娃兒穿起來將像櫥窗洋娃娃一樣的甜美可愛，令所有關愛寶貝的親朋好友們，留下深刻印象。純棉材質、舒適內裡，呵護小嬰兒脆弱肌膚，穿著柔軟舒適、不刺癢。",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",0,0,1,0,0,1,1,1,0,1,0,,,1,0,1,1,1,0,1,0,0,0,1,"浪漫海洋綁帶小洋裝 6-12個月",0,"simple",,
"admin","base","Default","simple",,"CDP18M-EROSE",0,"花漾連身裙(神秘紫) 12-18個月","the-ellie-rose-chloe-dress-plum-12mos","Use config","Use config","Block after Info Column","the-ellie-rose-chloe-dress-plum-12mos.html","12-18個月",,"肩寬約20cm/總長約40cm","United States",1320,2174,,1,1482,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>搶眼設計、摩登時尚；高品質作工、精緻完美</li>
<li>活潑配色繽紛耐看、立體剪裁有型可愛</li>
<li>甜美風格、實穿好搭、家有女孩兒的必買精品洋裝</li>","Made in USA :: 色彩繽紛豐富的花朵襯裙與肩前的燈芯絨撞色拼接，將復古風格與現代摩登做了最佳的結合。一件式長版上衣，精細的裙襬剪裁，穿起來立挺俏麗、時尚有型。不論是單穿或內搭小褲襪，都十分甜美可愛。適合各種場合穿著的柔軟優質棉料與背後的搶眼小圓扣，讓寶貝開心的舒適穿著、成為燦爛陽光下最耀眼的甜心小娃兒。

",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"花漾連身裙(神秘紫) 12-18個月",0,"simple",,
"admin","base","Default","simple",,"CDO18M-EROSE",0,"花漾連身裙(亮麗橙) 12-18個月","the-ellie-rose-chloe-dress-orange-12mos","Use config","Use config","Block after Info Column","the-ellie-rose-chloe-dress-orange-12mos.html","12-18個月",,"肩寬約24cm/袖長約27.5cm/總長約46cm","United States",1260,2280,,1,1482,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>搶眼設計、摩登時尚；高品質作工、精緻完美</li>
<li>活潑配色繽紛耐看、立體剪裁有型可愛</li>
<li>甜美風格、實穿好搭、家有女孩兒的必買精品洋裝</li>","Made in USA :: 色彩繽紛豐富的花朵襯裙與肩前的燈芯絨撞色拼接，將復古風格與現代摩登做了最佳的結合。一件式長版上衣，精細的裙襬剪裁，穿起來立挺俏麗、時尚有型。不論是單穿或內搭小褲襪，都十分甜美可愛。適合各種場合穿著的柔軟優質棉料與背後的搶眼小圓扣，讓寶貝開心的舒適穿著、成為燦爛陽光下最耀眼的甜心小娃兒。 ",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",12,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"花漾連身裙(亮麗橙) 12-18個月",0,"simple",,
"admin","base","Default","simple",,"CDO2T-EROSE",0,"花漾連身裙(亮麗橙) 2-3歲","the-ellie-rose-chloe-dress-orange-2t","Use config","Use config","Block after Info Column","the-ellie-rose-chloe-dress-orange-2t.html","2-3歲",,,"United States",1260,2280,,1,1482,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>搶眼設計、摩登時尚；高品質作工、精緻完美</li>
<li>活潑配色繽紛耐看、立體剪裁有型可愛</li>
<li>甜美風格、實穿好搭、家有女孩兒的必買精品洋裝</li>","Made in USA :: 色彩繽紛豐富的花朵襯裙與肩前的燈芯絨撞色拼接，將復古風格與現代摩登做了最佳的結合。一件式長版上衣，精細的裙襬剪裁，穿起來立挺俏麗、時尚有型。不論是單穿或內搭小褲襪，都十分甜美可愛。適合各種場合穿著的柔軟優質棉料與背後的搶眼小圓扣，讓寶貝開心的舒適穿著、成為燦爛陽光下最耀眼的甜心小娃兒。
",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",10,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"花漾連身裙(亮麗橙) 2-3歲",0,"simple",,
"admin","base","Default","simple",,"KTO18M-EROSE",0,"夏威夷風情長版上衣(亮麗橙) 12-18個月","the-ellie-rose-kimi-tunic-orange-12mos","Use config","Use config","Block after Info Column","the-ellie-rose-kimi-tunic-orange-12mos.html","12-18個月",,"肩寬約24cm/袖長約24cm/總長約43cm","United States",1020,1834,,1,966.7,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>活潑俏麗的長版印花上衣、百搭設計、四季皆可穿著</li>
<li>精緻作工、柔軟棉料、穿法多樣好搭配</li>
<li>天真爛漫的甜美風格、家有女孩兒的必買衣著推薦</li>
","
Made in USA :: 春、夏、秋、冬，四季皆可穿著的一件式長版上衣。活潑亮麗的印花圖騰與可愛的小蓬袖，不論是當洋裝單穿或繫上腰帶、內搭貼身褲，小娃兒馬上就能化身為俏麗的小型女。適合各種場合穿著的柔軟優質棉料與背後的搶眼小圓扣，讓寶貝開心的舒適穿著、成為日常生活中最可愛耀眼的甜心小娃兒。
",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",11,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"夏威夷風情長版上衣(亮麗橙) 12-18個月",0,"simple",,
"admin","base","Default","simple",,"KTO2T-EROSE",0,"夏威夷風情長版上衣(亮麗橙) 2-3歲","the-ellie-rose-kimi-tunic-orange-2t","Use config","Use config","Block after Info Column","the-ellie-rose-kimi-tunic-orange-2t.html","2-3歲",,,"United States",1020,1834,,1,966.7,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>活潑俏麗的長版印花上衣、百搭設計、四季皆可穿著</li>
<li>精緻作工、柔軟棉料、穿法多樣好搭配</li>
<li>天真爛漫的甜美風格、家有女孩兒的必買衣著推薦</li>
","Made in USA :: 春、夏、秋、冬，四季皆可穿著的一件式長版上衣。活潑亮麗的印花圖騰與可愛的小蓬袖，不論是當洋裝單穿或繫上腰帶、內搭貼身褲，小娃兒馬上就能化身為俏麗的小型女。適合各種場合穿著的柔軟優質棉料與背後的搶眼小圓扣，讓寶貝開心的舒適穿著、成為日常生活中最可愛耀眼的甜心小娃兒。",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",12,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"夏威夷風情長版上衣(亮麗橙) 2-3歲",0,"simple",,
"admin","base","Default","simple",,"KTO3T-EROSE",0,"夏威夷風情長版上衣(亮麗橙) 3-4歲","the-ellie-rose-kimi-tunic-orange-2t","Use config","Use config","Block after Info Column","the-ellie-rose-kimi-tunic-orange-2t-399.html","3-4歲",,,"United States",1020,1834,,1,966.7,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>活潑俏麗的長版印花上衣、百搭設計、四季皆可穿著</li>
<li>精緻作工、柔軟棉料、穿法多樣好搭配</li>
<li>天真爛漫的甜美風格、家有女孩兒的必買衣著推薦</li>
","Made in USA :: 春、夏、秋、冬，四季皆可穿著的一件式長版上衣。活潑亮麗的印花圖騰與可愛的小蓬袖，不論是當洋裝單穿或繫上腰帶、內搭貼身褲，小娃兒馬上就能化身為俏麗的小型女。適合各種場合穿著的柔軟優質棉料與背後的搶眼小圓扣，讓寶貝開心的舒適穿著、成為日常生活中最可愛耀眼的甜心小娃兒。",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",11,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"夏威夷風情長版上衣(亮麗橙) 3-4歲",0,"simple",,
"admin","base","Default","simple",,"KTG18M-EROSE",0,"夏威夷風情長版上衣(閃耀金) 12-18個月","the-ellie-rose-kimi-tunic-gold-12mos","Use config","Use config","Block after Info Column","the-ellie-rose-kimi-tunic-gold-12mos.html","12-18個月",,"肩寬約24cm/袖長約24cm/總長約43cm","United States",1020,1834,,1,966.7,,"Catalog, Search","No","Yes","No","Enabled","The Ellie Rose","None","<li>活潑俏麗的長版印花上衣、百搭設計、四季皆可穿著</li>
<li>精緻作工、柔軟棉料、穿法多樣好搭配</li>
<li>天真爛漫的甜美風格、家有女孩兒的必買衣著推薦</li>
","Made in USA :: 春、夏、秋、冬，四季皆可穿著的一件式長版上衣。活潑亮麗的印花圖騰與可愛的小蓬袖，不論是當洋裝單穿或繫上腰帶、內搭貼身褲，小娃兒馬上就能化身為俏麗的小型女。適合各種場合穿著的柔軟優質棉料與背後的搶眼小圓扣，讓寶貝開心的舒適穿著、成為日常生活中最可愛耀眼的甜心小娃兒。",,"100%優質純棉","可洗衣機水洗烘乾，勿漂白",12,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"夏威夷風情長版上衣(閃耀金) 12-18個月",0,"simple",,
