"store","websites","attribute_set","type","sku","name","age","dimension","description","short_description","faq","material","warnings","product_name","store_id","product_type_id"
"english","base","Default","simple","RDM2T-EROSE","Rachel Dress Mystic - 2T","2 to3 years",,,,,"100% premium cotton.",,,,
"english","base","Default","simple","RDM3T-EROSE","Rachel Dress Mystic - 3T","3 to4 years",,,,,"100% premium cotton.",,,,
"english","base","Default","simple","PDO6-12M-EROSE","Phoebe Dress Ocean 6-12 Months","6mos.~12mos.",,,,,"100% premium cotton.",,,,
"english","base","Default","simple","CDP18M-EROSE","Chloe Dress Plum - 12-18mos","12mos.~18mos.",,,"The perfect dress for a day at school, holidays or for catching bubbles. This dress is soft to the touch fine wale corduroy top with 100% premium cotton skirt. Two coordinating fabric buttons on the back make this dress a girlﾒs favorite.",,"100% premium cotton.",,,,
"english","base","Default","simple","CDO18M-EROSE","Chloe Dress Orange - 12-18mos","12mos.~18mos.",,,"The perfect dress for a day at school, holidays or for catching bubbles. This dress is soft to the touch fine wale corduroy top with 100% premium cotton skirt. Two coordinating fabric buttons on the back make this dress a girlﾒs favorite.",,"100% premium cotton.",,,,
"english","base","Default","simple","CDO2T-EROSE","Chloe Dress Orange - 2T","2 to 3 years",,,"The perfect dress for a day at school, holidays or for catching bubbles. This dress is soft to the touch fine wale corduroy top with 100% premium cotton skirt. Two coordinating fabric buttons on the back make this dress a girlﾒs favorite.",,"100% premium cotton.",,,,
"english","base","Default","simple","KTO18M-EROSE","Kimi Tunic Orange 12-18 Mo ","12mos.~18mos.",,,"Fall, winter, spring or summer this tunic is the perfect dress for every season. Made with 100% premium cotton.",,"100% premium cotton.",,,,
"english","base","Default","simple","KTO2T-EROSE","Kimi Tunic Orange 2T","2 ~ 3 years",,,"Fall, winter, spring or summer this tunic is the perfect dress for every season. Made with 100% premium cotton.",,"100% premium cotton.",,,,
"english","base","Default","simple","KTO3T-EROSE","Kimi Tunic Orange 3T","3 ~ 4 years",,,"Fall, winter, spring or summer this tunic is the perfect dress for every season. Made with 100% premium cotton.",,"100% premium cotton.",,,,
"english","base","Default","simple","KTG18M-EROSE","Kimi Tunic Gold 12mos","12mos.~18mos.",,,"Fall, winter, spring or summer this tunic is the perfect dress for every season. Made with 100% premium cotton.",,"100% premium cotton.",,,,
"english","base","Default","simple","KTG2T-EROSE","Kimi Tunic Gold - 2T","2 ~ 3 years",,,"Fall, winter, spring or summer this tunic is the perfect dress for every season. Made with 100% premium cotton.",,"100% premium cotton.",,,,
"english","base","Default","simple","KTG3T-EROSE","Kimi Tunic Gold - 3T","3 ~ 4 years",,,"Fall, winter, spring or summer this tunic is the perfect dress for every season. Made with 100% premium cotton.",,"100% premium cotton.",,,,
"english","base","Default","simple","MDO18M-EROSE","Maddi Dress Orange 12-18mos","12mos.~18mos.",,,"This dress is sure to be a favorite. Made with a 100% fine wale corduroy, ruffle trim, and matching fabric covered buttons to complete the look",,"100% premium cotton.",,,,
"english","base","Default","simple","MDO2T-EROSE","Maddi Dress Orange 2T","2 ~ 3 years",,,"This dress is sure to be a favorite. Made with a 100% fine wale corduroy, ruffle trim, and matching fabric covered buttons to complete the look",,"100% premium cotton.",,,,
"english","base","Default","simple","MDO3T-EROSE","Maddi Dress Orange 3T","3 ~ 4 years",,,"This dress is sure to be a favorite. Made with a 100% fine wale corduroy, ruffle trim, and matching fabric covered buttons to complete the look",,"100% premium cotton.",,,,
"english","base","Default","simple","EDLD6-12M-EROSE","Ellie Dress Lime Dot 6-12mos","6mos.~12mos.",,,"This dress is sure to be a favorite. Made with a 100% fine wale corduroy, ruffle trim, and matching fabric covered buttons to complete the look.",,"100% premium cotton.",,,,
"english","base","Default","simple","EDLD2T-EROSE","Ellie Dress Lime Dot  2T","2 ~ 3 years",,,"This dress is sure to be a favorite. Made with a 100% fine wale corduroy, ruffle trim, and matching fabric covered buttons to complete the look.",,"100% premium cotton.",,,,
"english","base","Default","simple","EDLD3T-EROSE","Ellie Dress Lime Dot  2T","3 ~ 4 years",,,"This dress is sure to be a favorite. Made with a 100% fine wale corduroy, ruffle trim, and matching fabric covered buttons to complete the look.",,"100% premium cotton.",,,,
