"store","websites","attribute_set","type","sku","name","age","dimension","description","short_description","faq","material","warnings","product_name","store_id","product_type_id"
"english","base","Default","simple","GTWCH12-RF00-RB","Khaki Weekend Shorts - 12-18m","12-18 mos",,,,,"100% cotton","Machine washable","Khaki Weekend Shorts - 12-18m",,
"english","base","Default","simple","GTWCH18-RF00-RB","Khaki Weekend Shorts - 18-24m","18-24 mos",,,,,"100% cotton","Machine washable","Khaki Weekend Shorts - 18-24m",,
"english","base","Default","simple","GTWCH2T-RF00-RB","Khaki Weekend Shorts - 2T","2 ~ 3 years",,,,,"100% cotton","Machine washable","Khaki Weekend Shorts - 2T",,
"english","base","Default","simple","GTWCH3T-RF00-RB","Khaki Weekend Shorts - 3T","3 ~ 4 years",,,,,"100% cotton","Machine washable","Khaki Weekend Shorts - 3T",,
"english","base","Default","simple","ONKTE00-TES0-RB","Teal Satin Ruffle Front One-Piece - 0-3m","0-3mos",,,,,"100% cotton","Machine washable","Teal Satin Ruffle Front One-Piece - 0-3m",,
"english","base","Default","simple","ONKTE03-TES0-RB","Teal Satin Ruffle Front One-Piece - 3-6m","3- 6 mos",,,,,"100% cotton","Machine washable","Teal Satin Ruffle Front One-Piece - 3-6m",,
"english","base","Default","simple","ONKTE06-TES0-RB","Teal Satin Ruffle Front One-Piece - 6-12m","6-12 mos",,,,,"100% cotton","Machine washable","Teal Satin Ruffle Front One-Piece - 6-12m",,
"english","base","Default","simple","ONKTE12-TES0-RB","Teal Satin Ruffle Front One-Piece - 12-18m","12-18 mos",,,,,"100% cotton","Machine washable","Teal Satin Ruffle Front One-Piece - 12-18m",,
"english","base","Default","simple","ONKTE18-TES0-RB","Teal Satin Ruffle Front One-Piece - 18-24m","18-24 mos",,,,,"100% cotton","Machine washable","Teal Satin Ruffle Front One-Piece - 18-24m",,
"english","base","Default","simple","ONMPI12-USLS-RB","Pink Ruffled Long Sleeve Under-One-Piece - 18-24m ","18-24 mos",,,,,,"Machine washable","Pink Ruffled Long Sleeve Under-One-Piece - 18-24m ",,
