"store","websites","attribute_set","type","sku","name","age","dimension","description","short_description","faq","material","warnings","product_name","store_id","product_type_id"
"english","base","Default","simple","I2-821-306-NB-UN",,,,,,,,,,,
"english","base","Default","simple","I2-821-307-NB-UN",,,,,,,,,,,
"english","base","Default","simple","I2-822-306-NB-UN",,,,,,,,,,,
"english","base","Default","simple","I2-822-307-NB-UN",,,,,,,,,,,
"english","base","Default","simple","I2-819-306-NB-UN",,,,,,,,,,,
"english","base","Default","simple","I2-819-307-NB-UN",,,,,,,,,,,
"english","base","Default","simple","I20-776-273-BU-UN",,,,,,,,,,,
"english","base","Default","simple","I20-775-273-TG-UN",,,,,,,,,,,
"english","base","Default","simple","I20-713-273-TG-UN",,,,,,,,,,,
"english","base","Default","simple","I2-836-304-TG-UN",,,,,,,,,,,
"english","base","Default","simple","BBR-Navy9m-UN",,,,,,,,,,,
"english","base","Default","simple","BBR-Navy18m-UN",,,,,,,,,,,
"english","base","Default","simple","RWL-Navy-9mo-UN",,,,,,,,,,,
"english","base","Default","simple","RWL-Navy-18mo-UN",,,,,,,,,,,
"english","base","Default","simple","SH-Wht-12mo-UN",,,,,,,,,,,
"english","base","Default","simple","SH-Wht-18mo-UN",,,,,,,,,,,
"english","base","Default","simple","2PCPOPLINWHT-12M-UN",,,,,,,,,,,
"english","base","Default","simple","2PCPOPLINWHT-18M-UN",,,,,,,,,,,
"english","base","Default","simple","2PCPOPLINWHT-24M-UN",,,,,,,,,,,
"english","base","Default","simple","I10-816-305-TG-UN",,,,,,,,,,,
"english","base","Default","simple","RDBlmr-Wht-6mo-UN",,,,,,,,,,,
"english","base","Default","simple","RDBlmr-Wht-9mo-UN",,,,,,,,,,,
"english","base","Default","simple","SHFloral-Pnk-12mo-UN",,,,,,,,,,,
"english","base","Default","simple","SHFloral-Pnk-24mo-UN",,,,,,,,,,,
