"store","websites","attribute_set","type","category_ids","sku","has_options","name","url_key","msrp_enabled","msrp_display_actual_price_type","options_container","url_path","age","gender","size","gallery","dimension","country_of_manufacture","price","special_price","cost","weight","msrp","color","visibility","featured","enable_googlecheckout","is_recurring","status","manufacturer","tax_class_id","description","short_description","faq","material","warnings","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites"
"admin","base","Default","simple",,"LimBwlr2y-CB",0,"純棉草綠淺藍襯衫(1-2y)","cutey-booty-lime-brites-bowler-shirt-24mo","Use config","Use config","Block after Info Column","cutey-booty-lime-brites-bowler-shirt-24mo.html","1歲-2歲","男",,,,"United States",778,950,,1,678,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>草綠主色搭配淺藍布料，配色舒服亮眼</li>
","讓你的孩子成為主角，全家出去就差這一件！顏色舒適亮眼的純棉休閒襯衫，俐落的剪裁讓孩子獨樹一格， 讓你們家的小大人看起來更活潑，各種場合都能夠有型出場，走一場屬於他的fashion show。",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"純棉草綠淺藍襯衫(1-2y)",0,"simple",,
"admin","base","Default","simple",,"LimBwlr3y-CB",0,"純棉草綠淺藍襯衫(2-3y)","cutey-booty-lime-brites-bowler-shirt-3t","Use config","Use config","Block after Info Column","cutey-booty-lime-brites-bowler-shirt-3t.html","2歲-3歲 ","男",,,,"United States",778,950,,1,678,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>草綠主色搭配淺藍布料，配色舒服亮眼</li>
","讓你的孩子成為主角，全家出去就差這一件！顏色舒適亮眼的純棉休閒襯衫，俐落的剪裁讓孩子獨樹一格， 讓你們家的小大人看起來更活潑，各種場合都能夠有型出場，走一場屬於他的fashion show。",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"純棉草綠淺藍襯衫(2-3y)",0,"simple",,
"admin","base","Default","simple",,"MstBwlr2y-CB",0,"純棉藍白襯衫(1-2歲)","cutey-booty-mist-whites-bowler-shirt-2t","Use config","Use config","Block after Info Column","cutey-booty-mist-whites-bowler-shirt-2t.html","1歲-2歲","男",,,,"United States",778,950,,1,678,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>藍白舒適色系，夏天好清爽</li>
","讓你的孩子成為主角，全家出去就差這一件！顏色舒適大方的藍白休閒襯衫，俐落的剪裁讓孩子獨樹一格， 讓你們家的小大人看起來更活潑，各種場合都能夠有型出場，走一場屬於他的fashion show。",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"純棉藍白襯衫(1-2歲)",0,"simple",,
"admin","base","Default","simple",,"MstBwlr3y-CB",0,"純棉藍白襯衫(2-3歲)","cutey-booty-mist-whites-bowler-shirt-3t","Use config","Use config","Block after Info Column","cutey-booty-mist-whites-bowler-shirt-3t.html","2歲-3歲 ","男",,,,"United States",778,950,,1,678,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>藍白舒適色系，夏天好清爽</li>
","讓你的孩子成為主角，全家出去就差這一件！顏色舒適大方的藍白休閒襯衫，俐落的剪裁讓孩子獨樹一格， 讓你們家的小大人看起來更活潑，各種場合都能夠有型出場，走一場屬於他的fashion show。",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"純棉藍白襯衫(2-3歲)",0,"simple",,
"admin","base","Default","simple",,"LimBrtch2yA-CB",0,"草綠純棉休閒褲 - 英文a (1-2歲)","cutey-booty-lime-brites-britches-letter-a-2t","Use config","Use config","Block after Info Column","cutey-booty-lime-brites-britches-letter-a-2t.html","1歲-2歲","男",,,,"United States",1030,1385,,1,918,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>特殊可愛的英文字圖案，造型搶眼</li>
","來顛覆你的想像吧！顏色舒服亮眼的草綠純棉休閒褲，加上俏皮的反摺設計，不僅讓你的孩子穿著不單調，質地柔軟的設計更是讓孩子活動自如，成為戶外的小探險家！加上充滿特色的可愛英文字a，讓孩子俐落有型不被拘束！",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"草綠純棉休閒褲 - 英文a (1-2歲)",0,"simple",,
"admin","base","Default","simple",,"LimBrtch3yA-CB",0,"草綠純棉休閒褲 - 英文a (2-3歲)","cutey-booty-lime-brites-britches-letter-a-3t","Use config","Use config","Block after Info Column","cutey-booty-lime-brites-britches-letter-a-3t.html","2歲-3歲 ","男",,,,"United States",1030,1385,,1,918,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>特殊可愛的英文字圖案，造型搶眼</li>
","來顛覆你的想像吧！顏色舒服亮眼的草綠純棉休閒褲，加上俏皮的反摺設計，不僅讓你的孩子穿著不單調，質地柔軟的設計更是讓孩子活動自如，成為戶外的小探險家！加上充滿特色的可愛英文字a，讓孩子俐落有型不被拘束！",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"草綠純棉休閒褲 - 英文a (2-3歲)",0,"simple",,
"admin","base","Default","simple",,"LimBrtch3yWhl-CB",0,"草綠純棉休閒褲 - 小鯨魚 (2-3歲)","cutey-booty-lime-brites-britches-whale-a-3t","Use config","Use config","Block after Info Column","cutey-booty-lime-brites-britches-whale-a-3t.html","2歲-3歲 ","男",,,,"United States",1030,1385,,1,918,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>生動小鯨魚圖案，亮眼又可愛</li>
","來顛覆你的想像吧！顏色亮麗的草綠純棉休閒褲，加上俏皮的反摺設計，不僅讓你的孩子穿著不單調，質地柔軟的設計更是讓孩子活動自如，成為戶外的小探險家！加上充滿特色的可愛小鯨魚圖案，讓孩子俐落有型不被拘束！",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"草綠純棉休閒褲 - 小鯨魚 (2-3歲)",0,"simple",,
"admin","base","Default","simple",,"MstBrtch2yC-CB",0,"淡藍純棉休閒褲 - 英文字c (1-2歲)","cutey-booty-mist-brites-britches-letter-c-2t","Use config","Use config","Block after Info Column","cutey-booty-mist-brites-britches-letter-c-2t.html","1歲-2歲","男",,,,"United States",1030,1385,,1,918,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>特殊可愛的英文字圖案，造型搶眼</li>
","來顛覆你的想像吧！清新可愛的淡藍色休閒褲，加上俏皮的反摺設計，不僅讓你的孩子穿著不單調，質地柔軟的設計更是讓孩子活動自如，成為戶外的小探險家！加上充滿特色的可愛英文字Ｃ，讓孩子俐落有型不被拘束！",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"淡藍純棉休閒褲 - 英文字c (1-2歲)",0,"simple",,
"admin","base","Default","simple",,"MstBrtch3yC-CB",0,"淡藍純棉休閒褲 - 英文字c (2-3歲)","cutey-booty-mist-brites-britches-letter-c-3t","Use config","Use config","Block after Info Column","cutey-booty-mist-brites-britches-letter-c-3t.html","2歲-3歲 ","男",,,,"United States",1030,1385,,1,918,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>特殊可愛的英文字圖案，造型搶眼</li>
","來顛覆你的想像吧！清新可愛的淡藍色休閒褲，加上俏皮的反摺設計，不僅讓你的孩子穿著不單調，質地柔軟的設計更是讓孩子活動自如，成為戶外的小探險家！加上充滿特色的可愛英文字Ｃ，讓孩子俐落有型不被拘束！",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"淡藍純棉休閒褲 - 英文字c (2-3歲)",0,"simple",,
"admin","base","Default","simple",,"CrlBrtch2yB-CB",0,"粉橘純棉休閒褲 - 英文字b (1-2歲)","cutey-booty-coral-brites-britches-letter-b-2t","Use config","Use config","Block after Info Column","cutey-booty-coral-brites-britches-letter-b-2t.html","1歲-2歲","男",,,,"United States",1030,1385,,1,918,,"Catalog, Search","No","Yes","No","Enabled","The Cutey Booty","None","<li>Made in USA</li>
<li>質地舒服柔軟，讓孩子行動自如不受拘束</li>
<li>脫俗的清新顏色，耀眼孩子的衣著style</li>
<li>特殊可愛的英文字圖案，造型搶眼</li>
","來顛覆你的想像吧！清新可愛的淡藍色休閒褲，加上俏皮的反摺設計，不僅讓你的孩子穿著不單調，質地柔軟的設計更是讓孩子活動自如，成為戶外的小探險家！加上充滿特色的可愛英文字Ｃ，讓孩子俐落有型不被拘束！",,"100%棉","洗衣機柔洗,低溫烘乾",5,0,1,0,0,1,1,1,0,1,1,,,1,0,1,0,1,0,1,0,0,0,1,"粉橘純棉休閒褲 - 英文字b (1-2歲)",0,"simple",,
