"store","sku","qty","is_in_stock"
"admin","1002-LILACOSM",1.0000,"1 "
"admin","1003-LILACOSM",20.0000,"1 "
"admin","1004-LILACOSM",11.0000,"1 "
"admin","1005-LILACOSM",32.0000,"1 "
"admin","1006-LILACOSM",20.0000,"1 "
"admin","1007-LILACOSM",26.0000,"1 "
"admin","1008-LILACOSM",12.0000,"1 "
"admin","1009-LILACOSM",13.0000,"1 "
"admin","1010-LILACOSM",4.0000,"1 "
"admin","1012-LILACOSM",16.0000,"1 "
"admin","1013-LILACOSM",3.0000,"1 "
"admin","1014-LILACOSM",6.0000,"1 "
"admin","1015-LILACOSM",4.0000,"1 "
"admin","1016-LILACOSM",4.0000,"1 "
