"store","sku","qty","is_in_stock"
"admin","1002-LILACOSM",1.0000,"1 "
"admin","1003-LILACOSM",20.0000,"1 "
"admin","1004-LILACOSM",11.0000,"1 "
"admin","1005-LILACOSM",32.0000,"1 "
"admin","1006-LILACOSM",20.0000,"1 "
"admin","1007-LILACOSM",26.0000,"1 "
"admin","1008-LILACOSM",12.0000,"1 "
"admin","1009-LILACOSM",13.0000,"1 "
"admin","1010-LILACOSM",4.0000,"1 "
"admin","1012-LILACOSM",16.0000,"1 "
"admin","1013-LILACOSM",3.0000,"1 "
"admin","1014-LILACOSM",6.0000,"1 "
"admin","1015-LILACOSM",4.0000,"1 "
"admin","1016-LILACOSM",4.0000,"1 "
"admin","102WT0000YEL-MS",16.0000,"1 "
"admin","103WT0000GRA-MS",17.0000,"1 "
"admin","1104-12M-TOMAT",4.0000,"1 "
"admin","1104-2T-TOMAT",4.0000,"1 "
"admin","11104N-M-UBSN",1.0000,"1 "
"admin","11104N-S-UBSN",4.0000,"1 "
"admin","111WT0000RA-MS",19.0000,"1 "
"admin","11301B-L-UBSN",5.0000,"1 "
"admin","11301B-M-UBSN",3.0000,"1 "
"admin","11301N-M-UBSN",4.0000,"1 "
"admin","11301N-S-UBSN",5.0000,"1 "
"admin","11303B-L-UBSN",4.0000,"1 "
"admin","11303B-M-UBSN",2.0000,"1 "
"admin","11303N-M-UBSN",5.0000,"1 "
"admin","11303N-S-UBSN",5.0000,"1 "
"admin","11304B-L-UBSN",3.0000,"1 "
"admin","11304B-M-UBSN",1.0000,"1 "
"admin","11305B-L-UBSN",5.0000,"1 "
"admin","11305B-M-UBSN",2.0000,"1 "
"admin","11305N-M-UBSN",5.0000,"1 "
"admin","11305N-S-UBSN",6.0000,"1 "
"admin","11306B-L-UBSN",4.0000,"1 "
"admin","11306N-M-UBSN",2.0000,"1 "
"admin","11306N-S-UBSN",5.0000,"1 "
"admin","11309N-M-UBSN",7.0000,"1 "
"admin","11309N-S-UBSN",8.0000,"1 "
"admin","11310B-L-UBSN",5.0000,"1 "
"admin","11310B-M-UBSN",4.0000,"1 "
"admin","11310N-M-UBSN",7.0000,"1 "
"admin","11310N-S-UBSN",7.0000,"1 "
"admin","11311B-L-UBSN",8.0000,"1 "
"admin","11311B-M-UBSN",7.0000,"1 "
"admin","11312B-L-UBSN",3.0000,"1 "
"admin","11312B-M-UBSN",3.0000,"1 "
"admin","119WT0000GRA-MS",18.0000,"1 "
"admin","1212P-KSTYL",12.0000,"1 "
"admin","1212RB-KSTYL",12.0000,"1 "
"admin","1212SG-KSTYL",10.0000,"1 "
"admin","123WT0000MBR-MS",19.0000,"1 "
"admin","124WT0000DYL-MS",18.0000,"1 "
"admin","1266-MELDOUG",6.0000,"1 "
"admin","1269-MELDOUG",1.0000,"1 "
"admin","1301-12M-TOMAT",5.0000,"1 "
"admin","1305-LILACOSM",8.0000,"1 "
"admin","130WT0000RED-MS",16.0000,"1 "
"admin","131-BBROO",4.0000,"1 "
"admin","135WT0000STN-MS",18.0000,"1 "
"admin","136-BBROO",6.0000,"1 "
"admin","1411-12M-TOMAT",4.0000,"1 "
"admin","1411-2T-TOMAT",3.0000,"1 "
"admin","142-BBROO",5.0000,"1 "
"admin","1421-12M-TOMAT",4.0000,"1 "
"admin","1421-6M-TOMAT",5.0000,"1 "
"admin","1422-12M-TOMAT",5.0000,"1 "
"admin","1422-6M-TOMAT",5.0000,"1 "
"admin","14221SBSHELF_NAT-KK",3.0000,"1 "
"admin","1423B-3M-MAGBB",1.0000,"1 "
"admin","1441-12M-TOMAT",4.0000,"1 "
"admin","1441-6M-TOMAT",5.0000,"1 "
"admin","1442-12M-TOMAT",5.0000,"1 "
