"sku","price","cost","special_price","special_from_date","special_to_date","max_sale_qty","import_tax","hs_code"
"FB20-WCARTS",1332,567,,,,"0.0000",0.0%,48142000004
"SeasonOS-WCARTS",1408,599,,,,"0.0000",0.0%,48142000004
"FB19-WCARTS",1332,567,,,,"0.0000",0.0%,48142000004
"IHartOwl-WCARTS",1777,756,,,,"0.0000",0.0%,48142000004
"DOTTILICIOUS-WCARTS",1184,504,,,,"0.0000",0.0%,48142000004
"FLUTTERFLIES2-WCARTS",1112,473,,,,"0.0000",0.0%,48142000004
"OVERLAPHEARTS-WCARTS",1332,567,,,,"0.0000",0.0%,48142000004
"BLOSSOMS-WCARTS",1112,473,,,,"0.0000",0.0%,48142000004
"7323-ZZ-CLOUDB",1039,504,,,,"0.0000",0.0%,
"7353-ZZ-CLOUDB",1039,504,,,,"0.0000",0.0%,
"7333-ZZ-CLOUDB",1169,567,,,,"0.0000",0.0%,
"7303-ZZ-CLOUDB",939,441,,,,"0.0000",0.0%,
"1266-MELDOUG",2218,944,"1299","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"1269-MELDOUG",1589,676,"899","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"2191-MELDOUG",926,394,"765","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"2281-MELDOUG",1109,472,"850","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"2783-MELDOUG",926,394,"765","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"3039-MELDOUG",926,394,"765","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"3044-MELDOUG",926,394,"765","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"3066-MELDOUG",740,315,"620","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"3130-MELDOUG",740,315,"620","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"3391-MELDOUG",740,315,"620","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"3777-MELDOUG",369,157,"310","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"4096-MELDOUG",740,315,"620","2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"7001.3-PRNCLH",1049,482,,,,"0.0000",0.0%,
"7000.3-PRNCLH",1049,482,,,,"0.0000",0.0%,
"7018.2-PRNCLH",1489,696,,,,"0.0000",0.0%,
"7020.2-PRNCLH",1489,696,,,,"0.0000",0.0%,
"7140.2-PRNCLH",1275,614,,,,"0.0000",0.0%,
"7152.2-PRNCLH",1275,614,,,,"0.0000",0.0%,
"7153.2-PRNCLH",1275,614,,,,"0.0000",0.0%,
"7401.2-PRNCLH",1275,644,,,,"0.0000",5.0%,
"7403.2-PRNCLH",1275,644,,,,"0.0000",5.0%,
"7406.2-PRNCLH",1275,644,,,,"0.0000",5.0%,
"PT3074-BEBABEAN",443,195,,,,"0.0000",6.8%,
"SMRG-BEBABEAN",667,284,,,,"0.0000",0.0%,
"CBTP-BEBABEAN",734,328,,,,"0.0000",10.0%,
"CBTI-BEBABEAN",734,328,,,,"0.0000",10.0%,
"CBTC-BEBABEAN",734,328,,,,"0.0000",10.0%,
"HKRP-BEBABEAN",1866,842,,,,"0.0000",12.0%,
"HKRC-BEBABEAN",1866,842,,,,"0.0000",12.0%,
"KCIOS-BEBABEAN",1168,527,,,,"0.0000",12.0%,
"KCPOS-BEBABEAN",1168,527,,,,"0.0000",12.0%,
"KOI12-BEBABEAN",1906,860,,,,"0.0000",12.0%,
"KOP12-BEBABEAN",1906,860,,,,"0.0000",12.0%,
"CBPOS-BEBABEAN",2294,1035,,,,"0.0000",12.0%,
"CBIOS-BEBABEAN",2294,1035,,,,"0.0000",12.0%,
"CBGOS-BEBABEAN",2294,1035,,,,"0.0000",12.0%,
"K1148-KDZDLGT",1107,471,775,"2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"K1147-KDZDLGT",1074,457,752,"2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"K3423-KDZDLGT",1255,534,878,"2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"K7730-KDZDLGT",945,402,661,"2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"K1185R-KDZDLGT",1276,543,893,"2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"K12650-KDZDLGT",1403,597,982,"2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"FFPIPA-PK",1806,976,1540,"2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"FFTIAS-PK",1806,976,1540,"2013-10-01 00:00:00","2016-10-01 00:00:00","0.0000",0.0%,
"JVZPBU-PK",969,524,,,,"0.0000",0.0%,
"JVZPTI-PK",969,524,,,,"0.0000",0.0%,
"TYPSMC-PK",1425,770,,,,"0.0000",0.0%,
"TYSORB-PK",1008,545,,,,"0.0000",0.0%,
"TYXYBX-PK",1008,545,,,,"0.0000",0.0%,
"TYCIRPZ-PK",707,382,,,,"0.0000",0.0%,
"TYSQPZ-PK",707,382,,,,"0.0000",0.0%,
"TWL03-3SP",1029,597,,,,"0.0000",12.0%,
"TWL05-3SP",1029,597,,,,"0.0000",12.0%,
"TWL06-3SP",1029,597,,,,"0.0000",12.0%,
"BIN06-3SP",899,537,,,,"0.0000",6.6%,
"BIN08-3SP",899,537,,,,"0.0000",6.6%,
"BIN09-3SP",899,537,,,,"0.0000",6.6%,
"BIN02-3SP",899,537,,,,"0.0000",6.6%,
"BIN05-3SP",899,537,,,,"0.0000",6.6%,
"BOX02-3SP",739,437,,,,"0.0000",6.6%,
"BOX01-3SP",739,437,,,,"0.0000",6.6%,
"CAD01-3SP",719,369,,,,"0.0000",6.6%,
"CAD02-3SP",719,369,,,,"0.0000",6.6%,
"CAD03-3SP",719,369,,,,"0.0000",6.6%,
"CAD04-3SP",719,369,,,,"0.0000",6.6%,
"CAD05-3SP",719,369,,,,"0.0000",6.6%,
"PocketPosies-MLS",1159,518,,,,"0.0000",10.0%,
"PinkyButtons-MLS",1159,518,,,,"0.0000",10.0%,
