"sku","amazon_avg_rating","amazon_review_count"
"RB-PS-1-PLUIE",,
"RB-FP-8-PLUIE",1,5
"RB-FP-1-PLUIE",1,5
"starter-kiinde",4.7,9
"FB2-WCARTS",5,5
"SeasonOS-WCARTS",4.3,14
"FB19-WCARTS",4.3,14
"IHartOwl-WCARTS",,
"DottiLicious-WCARTS",4.9,16
"FlutterFlies2-WCARTS",,
"OverlapHearts-WCARTS",,
"Blossoms-WCARTS",2,5
"7323-ZZ-CLOUDB",4.5,2849
"7353-ZZ-CLOUDB",4.5,2849
"7333-ZZ-CLOUDB",4.5,66
"733-ZZ-CLOUDB",4.3,773
"1266-MELDOUG",,
"1269-MELDOUG",,
"2191-MELDOUG",4.7,6
"2281-MELDOUG",4.2,166
"2783-MELDOUG",4.4,68
"339-MELDOUG",3.9,9
"344-MELDOUG",4,48
"366-MELDOUG",4.2,12
"313-MELDOUG",4.5,2
"3391-MELDOUG",4.2,114
"3777-MELDOUG",4.4,57
"496-MELDOUG",4.6,281
"71.3-PRNCLH",,
"7.3-PRNCLH",4.5,296
"718.2-PRNCLH",4.5,219
"72.2-PRNCLH",,
"714.2-PRNCLH",4.3,66
"7152.2-PRNCLH",,
"7153.2-PRNCLH",4.3,66
"741.2-PRNCLH",4.3,66
"743.2-PRNCLH",,
"746.2-PRNCLH",4.3,66
"PT374-BEBABEAN",5,1
"SMRG-BEBABEAN",,
"CBTP-BEBABEAN",,
"CBTI-BEBABEAN",,
"CBTC-BEBABEAN",,
"HKRP-BEBABEAN",,
"HKRC-BEBABEAN",,
"KCIOS-BEBABEAN",,
"KCPOS-BEBABEAN",,
"KOI12-BEBABEAN",,
"KOP12-BEBABEAN",,
"CBPOS-BEBABEAN",,
"CBIOS-BEBABEAN",,
"CBGOS-BEBABEAN",,
"K1148-KDZDLGT",4.3,7
"K1147-KDZDLGT",3.8,26
"K3423-KDZDLGT",4,23
"K773-KDZDLGT",3.9,12
"K1185R-KDZDLGT",4.1,12
"K1265-KDZDLGT",,
"FFPIPA-PK",4.2,41
"FFTIAS-PK",4.2,41
"JVZPBU-PK",,
"JVZPTI-PK",,
"TYPSMC-PK",4.2,4
"TYSORB-PK",4.4,1
"TYXYBX-PK",,
"TYCIRPZ-PK",,
"TYSQPZ-PK",,
"TWL3-3SP",4.2,14
"TWL5-3SP",4.2,14
"TWL6-3SP",4.2,14
"BIN6-3SP",4.5,16
"BIN8-3SP",4.5,16
"BIN9-3SP",4.5,16
"BIN2-3SP",4.5,16
"BIN5-3SP",4.5,16
"BOX2-3SP",4.6,52
"BOX1-3SP",4.6,52
"CAD1-3SP",4.7,56
"CAD2-3SP",4.7,56
"CAD3-3SP",4.7,56
"CAD4-3SP",4.7,56
"CAD5-3SP",4.7,56
"PocketPosies-MLS",4.5,14
"PinkyButtons-MLS",4.5,14
"BiggyButtons-MLS",4.5,14
"BlueFish-MLS",4.5,14
"135WTSTN-MS",,
"124WTDYL-MS",,
"12WTYEL-MS",,
"13WTGRA-MS",,
"123WTMBR-MS",,
"111WTRA-MS",,
"13WTRED-MS",,
"119WTGRA-MS",,
"MBB14-MIXIE",4.8,13
"MBB18-MIXIE",4.4,41
"136-BBROO",3.5,2
"154-BBROO",3.5,2
"153-BBROO",3.5,2
"174-BBROO",3.5,2
"195-BBROO",3.5,2
"131-BBROO",2.5,2
"1-BBROO",2.5,2
"133-BBROO",2.5,2
"17-BBROO",2.5,2
"142-BBROO",2.5,2
"BIN1-3SP",4.5,16
"BIN3-3SP",4.5,16
"BIN4-3SP",4.5,16
"WALL2-3SP",4.9,7
"WALL1-3SP",4.9,7
"WALL3-3SP",4.9,7
"MOB1-3SP",3.8,4
"MOB2-3SP",3.8,4
"MOB3-3SP",3.8,4
"HAMP1-3SP",4.8,55
"HAMP2-3SP",4.8,55
"HAMP3-3SP",4.8,55
"BATH1-3SP",3.8,9
"BATH3-3SP",3.8,9
"BATH2-3SP",3.8,9
"SF2151M-H2H",,
"SP21512M-H2H",,
"SB2151AM-H2H",,
"SC2151AS-H2H",,
"SC2154S-H2H",,
"SC2156S-H2H",,
"SC2154M-H2H",,
"SE2152S-H2H",,
"SE2154S-H2H",,
"SE2156S-H2H",,
"BW2151AS-H2H",5,3
"BW2154S-H2H",5,3
"BW2156S-H2H",5,3
"BW215S-H2H",5,3
"BW2151AL-H2H",5,3
"BW2154L-H2H",5,3
"BW2156L-H2H",5,3
"BW2152L-H2H",5,3
"GM4-H2H",,
"1131N-S-UBSN",,
"1131N-M-UBSN",,
"1133N-S-UBSN",,
"1133N-M-UBSN",,
"1114N-S-UBSN",,
"1114N-M-UBSN",,
"1136N-S-UBSN",,
"1136N-M-UBSN",,
"1135N-S-UBSN",,
"1135N-M-UBSN",,
"2128N-S-UBSN",,
"2128N-M-UBSN",,
"1139N-S-UBSN",,
"1139N-M-UBSN",,
"1131N-S-UBSN",,
"1131N-M-UBSN",,
"1131B-M-UBSN",,
"1131B-L-UBSN",,
"1133B-M-UBSN",,
"1133B-L-UBSN",,
"1134B-M-UBSN",,
"1134B-L-UBSN",,
"1135B-M-UBSN",,
"1135B-L-UBSN",,
"1136B-M-UBSN",,
"1136B-L-UBSN",,
"2128B-M-UBSN",,
"2128B-L-UBSN",,
"1131B-M-UBSN",,
"1131B-L-UBSN",,
"11311B-M-UBSN",,
"11311B-L-UBSN",,
"11312B-M-UBSN",,
"11312B-L-UBSN",,
"2111S-UBSN",,
"2114S-UBSN",,
"2115S-UBSN",,
"CocoSnow-MLS",4.5,14
"HudsonStripe-MLS",4.5,14
"Minky.BB-ISSMA",5,2
"Minky.BP-ISSMA",5,2
"Minky.CB-ISSMA",5,2
"Minky.CP-ISSMA",5,2
"ZF.LPK-ISSMA",5,2
"ZF.BLCW-ISSMA",5,2
"ZF.ZBR-ISSMA",5,2
"ZF.GRF-ISSMA",5,2
"Airplane-ISSMA",,
"Buttrfly-ISSMA",,
"LemonHrt-ISSMA",,
"UrbanZoo-ISSMA",,
"Monkeys-ISSMA",,
"1127B-MAGBB",,
"1128G-MAGBB",,
"1422G-3M-MAGBB",,
"1423B-3M-MAGBB",,
"152G-NB-MAGBB",,
"1521B-NB-MAGBB",,
"1524G-6M-MAGBB",,
"1525B-6M-MAGBB",,
"1526G-3M-MAGBB",,
"1526G-6M-MAGBB",,
"1526G-9M-MAGBB",,
"1527B-3M-MAGBB",,
"1527B-6M-MAGBB",,
"1527B-9M-MAGBB",,
"1528G-6M-MAGBB",,
"1528G-9M-MAGBB",,
"1529B-6M-MAGBB",,
"1529B-9M-MAGBB",,
"173G-9M-MAGBB",,
"1731B-9M-MAGBB",,
"182G-3M-MAGBB",,
"182G-6M-MAGBB",,
"182G-9M-MAGBB",,
"1821B-3M-MAGBB",,
"1821B-6M-MAGBB",,
"1821B-9M-MAGBB",,
"TYPZSS-PK",4.6,26
"FFKIKO-PK",,
"FFLILA-PK",,
"KBCHO3-KBOOST",4.5,149
"KBGRE-KBOOST",4.5,149
"KBNAT1-KBOOST",4.5,149
"CHTSLS3BL-LTGF",,
"CHTSLS3CR-LTGF",,
"CHTSLS3PK-LTGF",,
"MSNDSLS3BL-LTGF",,
"MSNDSLS3CE-LTGF",,
"MSNDSLS3PK-LTGF",,
"MSLNDSK3BL-LTGF",,
"LXDBLGBL-LTGF",4,4
"LXDBLGPK -LTGF",4,4
"LXDRLGBL-LTGF",4,4
"LXDRLGPK-LTGF",4,4
"CHCFBLYSV-LTGF",5,3
"CHTWPK-LTGF",,
"CHTWBL-LTGF",,
"MSCBKTPK-LTGF",,
"MSCBKTBL-LTGF",,
"MSCBKTSV-LTGF",,
"LXDPLGBL-LTGF",,
"LXDPLGCE-LTGF",,
"11-LILACOSM",5,1
"12-LILACOSM",4,2
"15-LILACOSM",,
"16-LILACOSM",5,1
"17-LILACOSM",,
"112-LILACOSM",2,1
"12-LILACOSM",1,1
"135-LILACOSM",5,1
"MMYellow-MM",4.7,37
"MMPink-MM",4.7,37
"MMBlue-MM",4.7,37
"SSSensor-CLOUDB",3,11
"TTBlue-CLOUDB",4.5,2855
"TTPurple-CLOUDB",4.5,2855
"TLBPink-CLOUDB",4.5,2855
"TRTAqua-CLOUDB",4.7,237
"WCJ-NB-LORALIN",,
