"sku","gender"
"RB-PS-10-PLUIE","女"
"RB-FP-8-PLUIE","女"
"RB-FP-10-PLUIE","女"
"starter-kiinde","女"
"FB20-WCARTS","女"
"SeasonOS-WCARTS","女 , 男"
"FB19-WCARTS","女 , 男"
"IHartOwl-WCARTS","女 , 男"
"DottiLicious-WCARTS","女 , 男"
"FlutterFlies2-WCARTS","女 , 男"
"OverlapHearts-WCARTS","女"
"Blossoms-WCARTS","女 , 男"
"7323-ZZ-CLOUDB","女 , 男"
"7353-ZZ-CLOUDB","女 , 男"
"7333-ZZ-CLOUDB","女 , 男"
"7303-ZZ-CLOUDB","女 , 男"
"1266-MELDOUG","女 , 男"
"1269-MELDOUG","女 , 男"
"2191-MELDOUG","女 , 男"
"2281-MELDOUG","女 , 男"
"2783-MELDOUG","女 , 男"
"3039-MELDOUG","女 , 男"
"3044-MELDOUG","女 , 男"
"3066-MELDOUG","女 , 男"
"3130-MELDOUG","女 , 男"
"3391-MELDOUG","女 , 男"
"3777-MELDOUG","女 , 男"
"4096-MELDOUG","女 , 男"
"7001.3-PRNCLH","女 , 男"
"7000.3-PRNCLH","女 , 男"
"7018.2-PRNCLH","女 , 男"
"7020.2-PRNCLH","女 , 男"
"7140.2-PRNCLH","女 , 男"
"7152.2-PRNCLH","女 , 男"
"7153.2-PRNCLH","女 , 男"
"7401.2-PRNCLH","女 , 男"
"7403.2-PRNCLH","女 , 男"
"7406.2-PRNCLH","女 , 男"
"PT3074-BEBABEAN","男"
"SMRG-BEBABEAN","女 , 男"
"CBTP-BEBABEAN","女"
"CBTI-BEBABEAN","女 , 男"
"CBTC-BEBABEAN","男"
"HKRP-BEBABEAN","女"
"HKRC-BEBABEAN","男"
"KCIOS-BEBABEAN","女"
"KCPOS-BEBABEAN","女"
"KOI12-BEBABEAN","女 , 男"
"KOP12-BEBABEAN","女"
"CBPOS-BEBABEAN","女"
"CBIOS-BEBABEAN","女 , 男"
"CBGOS-BEBABEAN","女 , 男"
"K1148-KDZDLGT","女 , 男"
"K1147-KDZDLGT","女 , 男"
"K3423-KDZDLGT","女 , 男"
"K7730-KDZDLGT","女 , 男"
"K1185R-KDZDLGT","女 , 男"
"K12650-KDZDLGT","女 , 男"
"FFPIPA-PK","女 , 男"
"FFTIAS-PK","女 , 男"
"JVZPBU-PK","女 , 男"
"JVZPTI-PK","女 , 男"
"TYPSMC-PK","女 , 男"
"TYSORB-PK","女 , 男"
"TYXYBX-PK","女 , 男"
"TYCIRPZ-PK","女 , 男"
"TYSQPZ-PK","女 , 男"
"TWL03-3SP","女 , 男"
"TWL05-3SP","女 , 男"
"TWL06-3SP","女 , 男"
"BIN06-3SP","女 , 男"
"BIN08-3SP","女 , 男"
"BIN09-3SP","女 , 男"
"BIN02-3SP","女 , 男"
"BIN05-3SP","女 , 男"
"BOX02-3SP","女 , 男"
"BOX01-3SP","女 , 男"
"CAD01-3SP","女 , 男"
"CAD02-3SP","女 , 男"
"CAD03-3SP","女 , 男"
"CAD04-3SP","女 , 男"
"CAD05-3SP","女 , 男"
"PocketPosies-MLS","女 , 男"
"PinkyButtons-MLS","女 , 男"
"BiggyButtons-MLS","女 , 男"
"BlueFish-MLS","女 , 男"
"135WT0000STN-MS","女 , 男"
"124WT0000DYL-MS","女 , 男"
"102WT0000YEL-MS","女 , 男"
"103WT0000GRA-MS","女 , 男"
"123WT0000MBR-MS","女 , 男"
"111WT0000RA-MS","女 , 男"
"130WT0000RED-MS","女 , 男"
"119WT0000GRA-MS","女 , 男"
"MBB1004-MIXIE","女 , 男"
"MBB1008-MIXIE","女 , 男"
"136-BBROO","女 , 男"
"154-BBROO","女 , 男"
"153-BBROO","女 , 男"
"174-BBROO","女 , 男"
"195-BBROO","女"
"131-BBROO","女"
"100-BBROO","女 , 男"
"133-BBROO","女 , 男"
"170-BBROO","女 , 男"
"142-BBROO","女 , 男"
"BIN01-3SP","女 , 男"
"BIN03-3SP","女 , 男"
"BIN04-3SP","女 , 男"
"WALL2-3SP","女 , 男"
"WALL1-3SP","女 , 男"
"WALL3-3SP","女 , 男"
"MOB1-3SP","女 , 男"
"MOB2-3SP","女 , 男"
"MOB3-3SP","女 , 男"
"HAMP1-3SP","女 , 男"
"HAMP2-3SP","女 , 男"
"HAMP3-3SP","女 , 男"
"BATH1-3SP","女 , 男"
"BATH3-3SP","女 , 男"
"BATH2-3SP","女 , 男"
"SF2151M-H2H","女"
"SP21512M-H2H","女"
"SB2151AM-H2H","女"
"SC2151AS-H2H","女"
"SC2154S-H2H","女"
"SC2156S-H2H","女"
"SC2154M-H2H","女"
"SE2152S-H2H","女"
"SE2154S-H2H","女"
"SE2156S-H2H","女"
"BW2151AS-H2H","女"
"BW2154S-H2H","女"
"BW2156S-H2H","女"
"BW2150S-H2H","女"
"BW2151AL-H2H","女"
"BW2154L-H2H","女"
"BW2156L-H2H","女"
"BW2152L-H2H","女"
"GM04-H2H","女"
"11301N-S-UBSN","女 , 男"
"11301N-M-UBSN","女 , 男"
"11303N-S-UBSN","女 , 男"
"11303N-M-UBSN","女 , 男"
"11104N-S-UBSN","女 , 男"
"11104N-M-UBSN","女 , 男"
"11306N-S-UBSN","女 , 男"
"11306N-M-UBSN","女 , 男"
"11305N-S-UBSN","女 , 男"
"11305N-M-UBSN","女 , 男"
"21208N-S-UBSN","女 , 男"
"21208N-M-UBSN","女 , 男"
"11309N-S-UBSN","女 , 男"
"11309N-M-UBSN","女 , 男"
"11310N-S-UBSN","女 , 男"
"11310N-M-UBSN","女 , 男"
"11301B-M-UBSN","女 , 男"
"11301B-L-UBSN","女 , 男"
"11303B-M-UBSN","女 , 男"
"11303B-L-UBSN","女 , 男"
"11304B-M-UBSN","女 , 男"
"11304B-L-UBSN","女 , 男"
"11305B-M-UBSN","女 , 男"
"11305B-L-UBSN","女 , 男"
"11306B-M-UBSN","女 , 男"
"11306B-L-UBSN","女 , 男"
"21208B-M-UBSN","女 , 男"
"21208B-L-UBSN","女 , 男"
"11310B-M-UBSN","女 , 男"
"11310B-L-UBSN","女 , 男"
"11311B-M-UBSN","女 , 男"
"11311B-L-UBSN","女 , 男"
"11312B-M-UBSN","女 , 男"
"11312B-L-UBSN","女 , 男"
"21101S-UBSN","女 , 男"
"21104S-UBSN","女 , 男"
"21105S-UBSN","女 , 男"
"CocoSnow-MLS","女 , 男"
"HudsonStripe-MLS","女 , 男"
"Minky.BB-ISSMA","女 , 男"
"Minky.BP-ISSMA","女 , 男"
"Minky.CB-ISSMA","女 , 男"
"Minky.CP-ISSMA","女 , 男"
"ZF.LPK-ISSMA","女 , 男"
"ZF.BLCW-ISSMA","女 , 男"
"ZF.ZBR-ISSMA","女 , 男"
"ZF.GRF-ISSMA","女 , 男"
"Airplane-ISSMA","女 , 男"
"Buttrfly-ISSMA","女 , 男"
"LemonHrt-ISSMA","女 , 男"
"UrbanZoo-ISSMA","女 , 男"
"Monkeys-ISSMA","女 , 男"
"1127B-MAGBB","男"
"1128G-MAGBB","女"
"1422G-3M-MAGBB","女"
"1423B-3M-MAGBB","男"
"1520G-NB-MAGBB","女"
"1521B-NB-MAGBB","男"
"1524G-6M-MAGBB","女"
"1525B-6M-MAGBB","男"
"1526G-3M-MAGBB","女"
"1526G-6M-MAGBB","女"
"1526G-9M-MAGBB","女"
"1527B-3M-MAGBB","男"
"1527B-6M-MAGBB","男"
"1527B-9M-MAGBB","男"
"1528G-6M-MAGBB","女"
"1528G-9M-MAGBB","女"
"1529B-6M-MAGBB","男"
"1529B-9M-MAGBB","男"
"1730G-9M-MAGBB","女"
"1731B-9M-MAGBB","男"
"1820G-3M-MAGBB","女"
"1820G-6M-MAGBB","女"
"1820G-9M-MAGBB","女"
"1821B-3M-MAGBB","男"
"1821B-6M-MAGBB","男"
"1821B-9M-MAGBB","男"
"TYPZSS-PK","女 , 男"
"FFKIKO-PK","女 , 男"
"FFLILA-PK","女 , 男"
"KBCHO003-KBOOST","女 , 男"
"KBGRE000-KBOOST","女 , 男"
"KBNAT001-KBOOST","女 , 男"
"CHTSLS3BL-LTGF","男"
"CHTSLS3CR-LTGF","女 , 男"
"CHTSLS3PK-LTGF","女"
"MSNDSLS3BL-LTGF","男"
"MSNDSLS3CE-LTGF","女 , 男"
"MSNDSLS3PK-LTGF","女"
"MSLNDSK3BL-LTGF","男"
"LXDBLGBL-LTGF","男"
"LXDBLGPK -LTGF","女"
"LXDRLGBL-LTGF","男"
"LXDRLGPK-LTGF","女"
"CHCFBLYSV-LTGF","女 , 男"
"CHTWPK-LTGF","男"
"CHTWBL-LTGF","男"
"MSCBKTPK-LTGF","女"
"MSCBKTBL-LTGF","男"
"MSCBKTSV-LTGF","男"
"LXDPLGBL-LTGF","男"
"LXDPLGCE-LTGF","女 , 男"
"1001-LILACOSM","女"
"1002-LILACOSM","女"
"1005-LILACOSM","女"
"1006-LILACOSM","女"
"1007-LILACOSM","女"
"1012-LILACOSM","女"
"1200-LILACOSM","女"
"1305-LILACOSM","女"
"MMYellow-MM","女 , 男"
"MMPink-MM","女 , 男"
"MMBlue-MM","女 , 男"
"SSSensor-CLOUDB","女 , 男"
"TTBlue-CLOUDB","女 , 男"
"TTPurple-CLOUDB","女 , 男"
"TLBPink-CLOUDB","女 , 男"
"TRTAqua-CLOUDB","女 , 男"
"WCJ-NB-LORALIN","男"
"WCJ-3M-LORALIN","男"
"WCJ-6M-LORALIN","男"
"WCP-NB-LORALIN","女 , 男"
"WCP-3M-LORALIN","女 , 男"
"WCP-6M-LORALIN","女 , 男"
"BW-3M-LORALIN","男"
"BW-6M-LORALIN","男"
"BW-12M-LORALIN","男"
"BWR-3M-LORALIN","男"
"BWR-6M-LORALIN","男"
"BWR-12M-LORALIN","男"
"BWT-3M-LORALIN","男"
"BWT-6M-LORALIN","男"
"BWT-12M-LORALIN","男"
"WB-3M-LORALIN","男"
"WB-6M-LORALIN","男"
"WB-12M-LORALIN","男"
"ZN-LORALIN","女 , 男"
"ZB-LORALIN","女 , 男"
"HN-6M-LORALIN","男"
"HN-12M-LORALIN","男"
"HE-6M-LORALIN","男"
"HE-12M-LORALIN","男"
"OG-3M-LORALIN","男"
"OG-6M-LORALIN","男"
"OG-12M-LORALIN","男"
"BUS-LORALIN","女 , 男"
"BNS-LORALIN","女 , 男"
"RB-3M-LORALIN","男"
"RB-6M-LORALIN","男"
"MTN-005-MTN","女 , 男"
"MTN-001-MTN","女 , 男"
"MTN-010-MTN","女 , 男"
"MTN-029-MTN","女 , 男"
"MTN-026-MTN","女 , 男"
"22LAV9-TPC","女"
"22809RdShk9-TPC+Wng809Red-TPC","女"
"22809TrqPk9-TPC+Wng809Blue-TPC","女"
"22Lav6-TPC","女"
"22Lav7-TPC","女"
"22Wht6-TPC","女"
"22Wht7-TPC","女"
"22HotPk6-TPC","女"
"22HotPk7-TPC","女"
"22BdayPK7-TPC+WngBdayPK-TPC","女"
"22BdayLAV7-TPC+WngBdayLAV-TPC","女"
"22PKNV6-TPC ","女"
"22PKGNM6-TPC","女"
"22LcEgClnl6-TPC","女"
"22LcEgPriW6-TPC","女"
"1212RB-KSTYL","女 , 男"
"1212P-KSTYL","女 , 男"
"1212SG-KSTYL","女 , 男"
"9400-KSTYL","女 , 男"
"9425-KSTYL","女 , 男"
"9475-KSTYL","女 , 男"
"9500-KSTYL","女 , 男"
"9460-KSTYL","女 , 男"
"9470-KSTYL","女 , 男"
"8933100-KSTYL","女 , 男"
"8947000-KSTYL","女 , 男"
"4013547-KSTYL","女 , 男"
"4043617-KSTYL","女 , 男"
"SSFox1ZNat12mo-CLK","女 , 男"
"SSFox1ZNat18mo-CLK","女 , 男"
"SSOwl1ZDjn6mo-CLK","女 , 男"
"SSOwl1ZDjn12mo-CLK","女 , 男"
"SSBee1ZNat6mo-CLK","女 , 男"
"SSBee1ZNat12mo-CLK","女 , 男"
"SSPan1ZBLk12mo-CLK","女 , 男"
"SSPan1ZBlk18mo-CLK","女 , 男"
"SSDin1ZLmn6mo-CLK","女 , 男"
"SSDin1ZLmn12mo-CLK","女 , 男"
"SSBun1ZPnk6mo-CLK","女 , 男"
"SSBun1ZPnk12mo-CLK","女 , 男"
"SSCow1ZGrn6mo-CLK","女 , 男"
"SSCow1ZGrn12mo-CLK","女 , 男"
"LSBun1ZRed6mo-CLK","女 , 男"
"LSBun1ZRed18mo-CLK","女 , 男"
"LSSeal1ZBl12mo-CLK","女 , 男"
"LSSeal1ZBl18mo-CLK","女 , 男"
"LSDino1ZNav6mo-CLK","女 , 男"
"LSDino1ZNav12mo-CLK","女 , 男"
"LSDinoTNav2T-CLK","女 , 男"
"LSDinoTNav4T-CLK","女 , 男"
"LSSealTNav2T-CLK","女 , 男"
"LSSealTNav4T-CLK","女 , 男"
"SSCowTGrn2T-CLK","女 , 男"
"SSCowTGrn4T-CLK","女 , 男"
"SSPanTOrng2T-CLK","女 , 男"
"SSPanTOrng4T-CLK","女 , 男"
"SSOwlTDj2T-CLK","女 , 男"
"SSOwlTDj4T-CLK","女 , 男"
"YellowBib-CLK","女 , 男"
"BlackBib-CLK","女 , 男"
"PolkaBib-CLK","女 , 男"
"MMGreen-MM","女 , 男"
"RBWSDNB-P100-RB","女"
"RBWSD03-P100-RB","女"
"RBWSD06-P100-RB","女"
"RBWSD12-P100-RB","女"
"RBWSD18-P100-RB","女"
"RBWSD2T-P100-RB","女"
"RCDDB06-0000-RB","女"
"RCDDB12-0000-RB","女"
"RCDDB18-0000-RB","女"
"RCDDB2T-0000-RB","女"
"RLKBK00-0000-RB","女"
"RLKBK06-0000-RB","女"
"RLKGY00-0000-RB","女"
"RLKGY06-0000-RB","女"
"RCKLA12-0000-RB","女"
"RCKLA18-0000-RB","女"
"RCKLA2T-0000-RB","女"
"GJDMB18-0000-RB","女"
"GJDMB2T-0000-RB","女"
"53181PastelKitchen-KK","女"
"53260EspressoKitchen-KK","女 , 男"
"53173RedVintageKitchen-KK","女 , 男"
"53179PinkVintageKitchen-KK","女"
"65275PrettyPetalHouse-KK","女"
"21201AspenTableSetWhite-KK","女 , 男"
"26913HeartTable-KK","女"
"14956ToyBoxEspresso-KK","女 , 男"
"14951ToyBoxWht-KK","女 , 男"
"14953ToyBoxNat-KK","女 , 男"
"14221SBSHELF_NAT-KK","女 , 男"
"1008-LILACOSM","女"
"1003-LILACOSM","女"
"1016-LILACOSM","女"
"1015-LILACOSM","女"
"1013-LILACOSM","女"
"1014-LILACOSM","女"
"1009-LILACOSM","女"
"1010-LILACOSM","女"
"1011-LILACOSM","女"
"1004-LILACOSM","女"
"E525001-EDUSHP","女 , 男"
"E547023-EDUSHP","女 , 男"
"E547024-EDUSHP","女 , 男"
"E547005-EDUSHP","女 , 男"
"E915019-EDUSHP","女 , 男"
"E526023-EDUSHP","女 , 男"
"E909006-EDUSHP","女 , 男"
"E706132-EDUSHP","女 , 男"
"E706150-EDUSHP","女 , 男"
"E705175-EDUSHP","女 , 男"
"E851003-EDUSHP","女 , 男"
"E975054-EDUSHP","女 , 男"
"E716167-EDUSHP","女 , 男"
"E705191-EDUSHP","女 , 男"
"6973-LEARN","女 , 男"
"1455-LEARN","女 , 男"
"6906-LEARN","女 , 男"
"2781-LEARN","女 , 男"
"2421-LEARN","女 , 男"
"9162-LEARN","女 , 男"
"9153-LEARN","女 , 男"
"2690-LEARN","女 , 男"
"2665-LEARN","女 , 男"
"85001-Shrunks","女 , 男"
